UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,diff,Type_H,Type_L,Type_M
3066,M17925,300.1,309.2,1687,27.7,95,False,False,False,False,False,True,1,False,False,True
3453,H32866,301.6,310.5,1602,32.3,2,False,False,False,False,False,True,1,True,False,False
5472,L52651,302.7,312.3,1346,61.2,170,False,False,False,False,False,True,1,False,True,False
5490,L52669,302.6,312.1,1499,35.0,215,False,False,False,False,False,True,1,False,True,False
5496,H34909,302.9,312.5,1357,55.0,12,False,False,False,False,False,True,1,True,False,False
5510,L52689,302.8,312.2,1509,36.5,52,False,False,False,False,False,True,1,False,True,False
5554,L52733,302.5,311.9,1306,59.7,172,False,False,False,False,False,True,1,False,True,False
5640,L52819,302.6,312.1,1668,28.7,180,False,False,False,False,False,True,1,False,True,False
6092,L53271,300.9,310.7,1412,57.5,16,False,False,False,False,False,True,1,False,True,False
6914,L54093,300.8,311.2,1481,38.5,181,False,False,False,False,False,True,1,False,True,False
6961,L54140,300.7,311.0,1413,52.0,91,False,False,False,False,False,True,1,False,True,False
7489,L54668,300.3,311.7,1545,43.5,160,False,False,False,False,False,True,1,False,True,False
7869,H37282,300.4,311.9,1438,46.7,41,False,False,False,False,False,True,1,True,False,False
51,L47230,298.9,309.1,2861,4.6,143,True,False,False,True,False,False,0,False,True,False
78,L47257,298.8,308.9,1455,41.3,208,True,True,False,False,False,False,0,False,True,False
161,L47340,298.4,308.2,1282,60.7,216,True,False,False,False,True,False,0,False,True,False
162,L47341,298.3,308.1,1412,52.3,218,True,False,False,False,True,False,0,False,True,False
169,L47348,298.4,308.3,1433,62.3,20,True,False,False,True,False,False,0,False,True,False
195,M15054,298.2,308.5,2678,10.7,86,True,False,False,True,False,False,0,False,False,True
208,M15067,298.4,308.7,1421,60.7,119,True,False,False,True,False,False,0,False,False,True
243,L47422,298.0,308.2,1348,58.8,202,True,False,False,False,True,False,0,False,True,False
249,L47428,298.0,308.3,1362,56.8,216,True,False,False,False,True,False,0,False,True,False
250,L47429,298.0,308.3,1405,56.2,218,True,False,False,False,True,False,0,False,True,False
260,M15119,298.1,308.2,1420,63.9,19,True,False,False,True,False,False,0,False,False,True
328,L47507,297.7,308.5,1373,56.7,203,True,False,False,False,True,False,0,False,True,False
381,L47560,297.5,308.3,2564,12.8,127,True,False,False,True,False,False,0,False,True,False
443,L47622,297.4,308.5,1399,61.5,61,True,False,False,True,False,False,0,False,True,False
464,L47643,297.4,308.7,2874,4.2,118,True,False,False,True,False,False,0,False,True,False
587,L47766,297.6,309.6,1501,49.8,222,True,False,False,False,True,False,0,False,True,False
604,L47783,297.9,309.8,1336,71.6,31,True,False,False,True,False,False,0,False,True,False
747,L47926,296.8,308.1,1289,62.0,199,True,False,False,False,True,False,0,False,True,False
848,L48027,296.4,307.4,2833,5.6,213,True,False,False,True,False,False,0,False,True,False
881,M15740,295.8,306.3,1235,76.2,89,True,False,False,True,False,False,0,False,False,True
904,L48083,295.7,306.2,2270,14.6,149,True,False,False,True,False,False,0,False,True,False
927,L48106,295.6,306.1,1372,55.6,215,True,False,False,False,True,False,0,False,True,False
1017,M15876,296.3,307.2,1319,68.3,24,True,False,False,True,False,False,0,False,False,True
1086,L48265,297.0,307.8,1385,56.4,202,True,False,False,False,True,False,0,False,True,False
1088,H30501,296.9,307.8,1549,35.8,206,True,True,False,False,False,False,0,True,False,False
1096,L48275,296.9,307.5,2721,9.3,18,True,False,False,True,False,False,0,False,True,False
1124,H30537,296.6,307.7,1386,62.3,100,True,False,False,True,False,False,0,True,False,False
1125,M15984,296.7,307.8,1258,69.0,105,True,False,False,True,False,False,0,False,False,True
1145,L48324,297.0,307.9,1296,69.1,153,True,False,False,True,False,False,0,False,True,False
1162,L48341,297.0,307.8,1316,61.2,200,True,False,False,False,True,False,0,False,True,False
1163,L48342,296.9,307.8,1400,57.1,202,True,False,False,False,True,False,0,False,True,False
1168,L48347,297.0,308.1,1362,52.5,213,True,False,False,False,True,False,0,False,True,False
1285,L48464,298.4,309.5,2153,15.3,98,True,False,False,True,False,False,0,False,True,False
1335,L48514,299.0,310.4,1365,49.1,226,True,False,False,False,True,False,0,False,True,False
1336,L48515,299.0,310.4,1371,53.8,228,True,False,False,False,True,False,0,False,True,False
1392,L48571,298.9,310.2,2737,8.8,142,True,False,False,True,False,False,0,False,True,False
1420,L48599,298.7,309.8,1354,53.3,212,True,False,False,False,True,False,0,False,True,False
1493,M16352,298.0,308.7,1479,58.5,176,True,False,False,True,False,False,0,False,False,True
1510,L48689,298.0,308.5,1429,37.7,220,True,True,False,False,False,False,0,False,True,False
1584,L48763,298.2,308.4,1310,61.0,189,True,False,False,False,True,False,0,False,True,False
1596,L48775,298.0,308.2,1365,52.9,218,True,False,False,False,True,False,0,False,True,False
1683,H31096,297.9,307.4,1604,36.1,225,True,True,False,False,False,False,0,True,False,False
1764,L48943,298.2,307.6,1511,31.0,209,True,True,False,False,False,False,0,False,True,False
1785,L48964,298.3,308.0,2886,3.8,57,True,False,False,True,False,False,0,False,True,False
1790,L48969,298.2,307.9,1313,67.3,67,True,False,False,True,False,False,0,False,True,False
1809,L48988,298.1,307.7,2567,12.8,125,True,False,False,True,False,False,0,False,True,False
1834,L49013,297.8,307.3,1327,61.0,186,True,False,False,False,True,False,0,False,True,False
1997,M16856,298.4,308.0,1416,38.2,198,True,True,False,False,False,False,0,False,False,True
2016,L49195,298.5,308.2,1301,66.3,42,True,False,False,True,False,False,0,False,True,False
2076,L49255,299.5,309.4,1390,58.8,195,True,False,False,False,True,False,0,False,True,False
2126,L49305,299.3,308.9,1258,69.4,119,True,False,False,True,False,False,0,False,True,False
2167,M17026,299.6,309.2,1867,23.4,225,True,True,False,False,False,False,0,False,False,True
2234,L49413,299.5,308.7,2549,13.0,179,True,False,False,True,False,False,0,False,True,False
2245,M17104,299.3,308.4,1542,37.5,203,True,True,False,False,False,False,0,False,False,True
2300,L49479,299.4,308.7,1446,62.9,134,True,False,False,True,False,False,0,False,True,False
2332,L49511,299.3,308.6,1384,53.6,218,True,False,False,False,True,False,0,False,True,False
2333,L49512,299.2,308.5,1378,50.4,220,True,False,False,False,True,False,0,False,True,False
2427,M17286,298.9,308.2,1372,63.6,30,True,False,False,True,False,False,0,False,False,True
2445,L49624,299.2,308.6,1267,68.2,76,True,False,False,True,False,False,0,False,True,False
2495,L49674,299.1,308.8,1329,53.6,207,True,False,False,False,True,False,0,False,True,False
2503,L49682,299.2,309.0,1515,48.9,228,True,False,False,False,True,False,0,False,True,False
2582,L49761,299.2,309.1,1345,60.7,191,True,False,False,False,True,False,0,False,True,False
2599,L49778,299.1,308.8,1320,67.5,20,True,False,False,True,False,False,0,False,True,False
2672,M17531,299.7,309.3,1399,41.9,221,True,True,False,False,False,False,0,False,False,True
2762,L49941,299.8,309.3,1299,65.1,212,True,False,False,False,True,False,0,False,True,False
2859,L50038,300.5,309.3,1417,51.5,231,True,False,False,False,True,False,0,False,True,False
2865,H32278,300.6,309.4,1380,47.6,246,True,True,False,False,False,False,0,True,False,False
2880,M17739,300.6,309.4,1367,63.2,45,True,False,False,True,False,False,0,False,False,True
2942,M17801,300.7,309.6,1996,19.8,203,True,True,False,False,False,False,0,False,False,True
3001,H32414,300.5,309.8,1324,72.8,159,True,False,False,True,False,False,0,True,False,False
3020,L50199,300.5,309.8,1379,54.2,207,True,False,False,False,True,False,0,False,True,False
3141,H32554,300.4,309.9,2563,12.8,81,True,False,False,True,False,False,0,True,False,False
3237,M18096,300.8,309.4,1342,62.4,113,True,False,True,False,False,False,0,False,False,True
3267,L50446,301.3,310.1,1269,56.8,195,True,False,False,False,True,False,0,False,True,False
3351,L50530,301.4,310.8,1285,62.6,183,True,False,False,False,True,False,0,False,True,False
3357,L50536,301.6,310.8,1355,57.8,195,True,False,False,False,True,False,0,False,True,False
3370,L50549,301.5,310.9,2760,8.0,15,True,False,False,True,False,False,0,False,True,False
3458,M18317,301.5,310.4,2639,12.0,21,True,False,False,True,False,False,0,False,False,True
3529,L50708,302.0,310.9,1378,53.1,212,True,False,False,False,True,False,0,False,True,False
3530,L50709,301.9,310.9,1567,39.0,214,True,True,False,False,False,False,0,False,True,False
3580,L50759,301.8,310.6,2672,11.8,124,True,False,False,True,False,False,0,False,True,False
3685,L50864,302.0,311.2,1270,65.3,182,True,False,False,False,True,False,0,False,True,False
3696,L50875,302.2,311.3,1530,37.3,207,True,True,False,False,False,False,0,False,True,False
3761,L50940,302.3,310.9,1377,46.8,166,True,False,True,False,False,False,0,False,True,False
3788,L50967,302.3,310.8,1377,47.3,22,True,False,True,False,False,False,0,False,True,False
3794,L50973,302.3,310.9,1379,49.3,34,True,False,True,False,False,False,0,False,True,False
3807,M18666,302.3,310.9,1360,44.0,67,True,False,True,False,False,False,0,False,False,True
3815,M18674,302.1,310.6,1326,59.1,88,True,False,True,False,False,False,0,False,False,True
3830,H33243,302.3,310.9,1366,48.4,130,True,False,True,False,False,False,0,True,False,False
3866,H33279,302.6,311.5,1629,34.4,228,True,True,False,False,False,False,0,True,False,False
3868,M18727,302.7,311.6,2709,9.7,2,True,False,False,True,False,False,0,False,False,True
3929,L51108,302.6,311.5,1442,59.8,169,True,False,False,True,False,False,0,False,True,False
3936,M18795,302.6,311.6,1227,68.2,187,True,False,False,False,True,False,0,False,False,True
4003,L51182,302.1,311.2,1454,59.2,153,True,False,False,True,False,False,0,False,True,False
4025,M18884,302.1,311.0,1351,60.3,207,True,False,False,False,True,False,0,False,False,True
4033,L51212,302.0,310.8,1383,50.3,231,True,False,False,False,True,False,0,False,True,False
4035,L51214,302.0,310.8,1615,29.0,235,True,True,False,False,False,False,0,False,True,False
4049,L51228,301.9,311.0,2691,12.1,31,True,False,False,True,False,False,0,False,True,False
4072,L51251,301.9,310.6,1331,68.6,85,True,False,False,True,False,False,0,False,True,False
4079,H33492,302.1,310.7,1294,62.4,101,True,False,True,False,False,False,0,True,False,False
4081,L51260,302.0,310.4,1357,58.0,108,True,False,True,False,False,False,0,False,True,False
4082,L51261,302.0,310.4,1336,58.2,110,True,False,True,False,False,False,0,False,True,False
4088,L51267,301.9,310.4,1376,54.9,126,True,False,True,False,False,False,0,False,True,False
4097,L51276,301.9,310.4,1370,51.7,153,True,False,True,False,False,False,0,False,True,False
4118,L51297,301.9,310.5,1340,55.7,204,True,False,False,False,True,False,0,False,True,False
4120,L51299,302.1,310.7,1325,45.1,208,True,False,True,False,False,False,0,False,True,False
4121,M18980,302.1,310.7,1376,46.3,210,True,False,True,False,False,False,0,False,False,True
4122,M18981,302.1,310.7,1364,47.8,213,True,False,True,False,False,False,0,False,False,True
4131,L51310,301.9,310.4,1286,62.8,22,True,False,True,False,False,False,0,False,True,False
4139,L51318,301.7,310.2,1311,57.4,40,True,False,True,False,False,False,0,False,True,False
4141,L51320,301.7,310.2,1331,61.2,47,True,False,True,False,False,False,0,False,True,False
4152,M19011,301.9,310.4,1373,48.0,73,True,False,True,False,False,False,0,False,False,True
4154,M19013,302.0,310.4,1212,55.6,79,True,False,True,False,False,False,0,False,False,True
4156,L51335,302.0,310.5,1370,44.4,85,True,False,True,False,False,False,0,False,True,False
4158,L51337,302.0,310.5,1263,60.6,90,True,False,True,False,False,False,0,False,True,False
4165,L51344,302.2,310.6,1346,47.5,109,True,False,True,False,False,False,0,False,True,False
4171,M19030,302.2,310.6,1355,51.5,126,True,False,True,False,False,False,0,False,False,True
4174,M19033,302.2,310.6,1346,49.2,134,True,False,True,False,False,False,0,False,False,True
4180,L51359,302.4,310.9,1349,46.1,148,True,False,True,False,False,False,0,False,True,False
4183,L51362,302.4,310.7,1362,54.8,155,True,False,True,False,False,False,0,False,True,False
4185,L51364,302.2,310.6,1334,53.2,159,True,False,True,False,False,False,0,False,True,False
4186,L51365,302.2,310.6,1348,48.4,161,True,False,True,False,False,False,0,False,True,False
4208,M19067,302.3,310.9,1710,30.4,218,True,True,False,False,False,False,0,False,False,True
4212,L51391,302.1,310.7,1314,52.8,8,True,False,True,False,False,False,0,False,True,False
4226,L51405,302.1,310.7,1359,49.3,41,True,False,True,False,False,False,0,False,True,False
4248,L51427,302.6,311.0,1369,60.0,93,True,False,True,False,False,False,0,False,True,False
4250,L51429,302.5,310.9,1330,56.9,97,True,False,True,False,False,False,0,False,True,False
4252,H33665,302.5,310.9,1356,55.5,101,True,False,True,False,False,False,0,True,False,False
4254,M19113,302.6,311.0,1329,48.6,111,True,False,True,False,False,False,0,False,False,True
4259,M19118,302.7,311.1,1297,60.7,125,True,False,True,False,False,False,0,False,False,True
4271,L51450,302.6,310.9,1331,52.0,154,True,False,True,False,False,False,0,False,True,False
4280,L51459,302.0,310.1,1361,45.4,174,True,False,True,False,False,False,0,False,True,False
4283,L51462,301.9,309.9,1374,48.5,180,True,False,True,False,False,False,0,False,True,False
4284,M19143,301.8,309.9,1334,61.0,182,True,False,True,False,False,False,0,False,False,True
4286,L51465,301.7,309.9,1317,49.0,187,True,False,True,False,False,False,0,False,True,False
4293,M19152,301.8,310.1,2372,13.9,205,True,False,False,True,False,False,0,False,False,True
4297,L51476,301.8,310.2,2825,5.8,215,True,False,False,True,False,False,0,False,True,False
4308,L51487,301.4,309.9,1259,63.9,20,True,False,True,False,False,False,0,False,True,False
4324,L51503,301.8,310.3,1341,50.5,64,True,False,True,False,False,False,0,False,True,False
4327,L51506,301.6,310.1,1362,55.8,70,True,False,True,False,False,False,0,False,True,False
4329,L51508,301.6,310.1,1326,48.2,77,True,False,True,False,False,False,0,False,True,False
4354,M19213,302.0,309.7,1386,62.7,142,True,False,False,True,False,False,0,False,False,True
4356,H33769,302.0,309.8,1280,57.3,147,True,False,True,False,False,False,0,True,False,False
4362,M19221,302.1,310.1,1379,48.2,166,True,False,True,False,False,False,0,False,False,True
4386,L51565,301.8,309.7,1442,45.3,233,True,True,False,False,False,False,0,False,True,False
4390,M19249,302.1,310.0,1355,45.1,6,True,False,True,False,False,False,0,False,False,True
4392,M19251,302.2,310.1,1368,51.6,12,True,False,True,False,False,False,0,False,False,True
4401,L51580,302.3,310.1,1353,50.9,36,True,False,True,False,False,False,0,False,True,False
4406,L51585,302.4,310.2,1331,45.5,53,True,False,True,False,False,False,0,False,True,False
4407,L51586,302.5,310.3,1326,58.5,55,True,False,True,False,False,False,0,False,True,False
4410,M19269,302.4,310.1,1358,54.6,61,True,False,True,False,False,False,0,False,False,True
4420,M19279,302.6,310.2,2676,10.8,84,True,False,False,True,False,False,0,False,False,True
4422,L51601,302.6,310.2,1325,62.4,92,True,False,True,False,False,False,0,False,True,False
4428,M19287,302.4,310.1,1379,48.9,107,True,False,True,False,False,False,0,False,False,True
4436,L51615,302.3,310.1,1321,52.7,134,True,False,True,False,False,False,0,False,True,False
4442,L51621,302.5,310.2,1329,50.6,148,True,False,True,False,False,False,0,False,True,False
4449,L51628,302.4,310.3,1374,51.2,163,True,False,True,False,False,False,0,False,True,False
4450,M19309,302.4,310.3,1378,54.3,165,True,False,True,False,False,False,0,False,False,True
4470,L51649,302.7,310.5,1446,40.9,211,True,True,False,False,False,False,0,False,True,False
4476,L51655,302.7,310.5,1351,41.8,10,True,False,True,False,False,False,0,False,True,False
4481,H33894,302.7,310.4,1305,55.2,20,True,False,True,False,False,False,0,True,False,False
4496,L51675,302.6,310.4,1359,57.2,67,True,False,True,False,False,False,0,False,True,False
4502,L51681,302.5,310.2,1307,54.0,86,True,False,True,False,False,False,0,False,True,False
4511,L51690,302.4,310.2,1346,62.4,106,True,False,True,False,False,False,0,False,True,False
4528,M19387,302.4,310.5,1372,45.7,144,True,False,True,False,False,False,0,False,False,True
4534,M19393,302.4,310.3,1375,52.5,161,True,False,True,False,False,False,0,False,False,True
4537,L51716,302.4,310.2,1351,45.1,168,True,False,True,False,False,False,0,False,True,False
4545,L51724,302.5,310.4,1349,55.1,187,True,False,True,False,False,False,0,False,True,False
4557,M19416,302.7,310.6,1349,51.2,6,True,False,True,False,False,False,0,False,False,True
4559,L51738,302.7,310.7,1369,47.5,11,True,False,True,False,False,False,0,False,True,False
4566,H33979,302.7,310.8,1275,55.0,25,True,False,True,False,False,False,0,True,False,False
4571,L51750,302.8,310.9,1312,52.2,40,True,False,True,False,False,False,0,False,True,False
4580,L51759,303.0,311.2,1374,48.2,65,True,False,True,False,False,False,0,False,True,False
4597,L51776,303.0,311.2,1361,47.6,106,True,False,True,False,False,False,0,False,True,False
4601,L51780,303.0,311.0,1359,44.2,115,True,False,True,False,False,False,0,False,True,False
4602,M19461,303.0,311.1,1372,54.3,117,True,False,True,False,False,False,0,False,False,True
4612,L51791,303.0,311.3,1365,56.2,146,True,False,True,False,False,False,0,False,True,False
4619,M19478,303.0,311.3,1335,53.6,164,True,False,True,False,False,False,0,False,False,True
4621,L51800,303.1,311.3,1336,52.6,172,True,False,True,False,False,False,0,False,True,False
4622,L51801,303.0,311.2,1341,51.0,174,True,False,True,False,False,False,0,False,True,False
4633,M19492,302.9,311.2,1330,53.7,200,True,False,True,False,False,False,0,False,False,True
4647,L51826,303.3,311.4,1497,46.0,234,True,True,False,False,False,False,0,False,True,False
4652,L51831,303.2,311.4,1349,51.1,9,True,False,True,False,False,False,0,False,True,False
4662,L51841,303.3,311.3,1350,48.1,32,True,False,True,False,False,False,0,False,True,False
4666,M19525,303.4,311.4,1307,54.0,44,True,False,True,False,False,False,0,False,False,True
4670,M19529,303.3,311.5,1373,47.3,60,True,False,True,False,False,False,0,False,False,True
4703,L51882,303.6,311.8,1222,66.8,148,True,False,True,False,False,False,0,False,True,False
4719,L51898,303.3,311.6,1337,56.8,187,True,False,True,False,False,False,0,False,True,False
4721,M19580,303.4,311.7,1353,44.1,192,True,False,True,False,False,False,0,False,False,True
4724,L51903,303.4,311.8,1366,50.9,200,True,False,True,False,False,False,0,False,True,False
4728,M19587,303.4,311.8,1341,47.0,210,True,False,True,False,False,False,0,False,False,True
4732,L51911,303.3,311.6,1301,45.1,219,True,False,True,False,False,False,0,False,True,False
4738,M19597,303.2,311.5,1336,58.2,2,True,False,True,False,False,False,0,False,False,True
4740,L51919,303.2,311.4,1351,53.8,8,True,False,True,False,False,False,0,False,True,False
4749,L51928,303.2,311.2,1363,46.7,29,True,False,True,False,False,False,0,False,True,False
4756,L51935,303.4,311.7,1295,51.3,51,True,False,True,False,False,False,0,False,True,False
4760,L51939,303.5,311.6,1361,46.5,62,True,False,True,False,False,False,0,False,True,False
4762,H34175,303.7,311.9,1332,52.7,66,True,False,True,False,False,False,0,True,False,False
4763,M19622,303.7,312.0,2663,11.4,71,True,False,False,True,False,False,0,False,False,True
4769,L51948,303.6,312.0,1309,52.9,86,True,False,True,False,False,False,0,False,True,False
4771,L51950,303.5,311.9,1344,49.3,93,True,False,True,False,False,False,0,False,True,False
4779,H34192,303.6,312.2,1371,54.6,112,True,False,True,False,False,False,0,True,False,False
4815,L51994,303.4,311.8,1401,53.0,208,True,False,False,False,True,False,0,False,True,False
4817,L51996,303.4,312.0,1521,35.9,215,True,True,False,False,False,False,0,False,True,False
4832,L52011,303.5,312.0,1366,54.5,30,True,False,True,False,False,False,0,False,True,False
4834,L52013,303.4,311.9,1377,41.6,34,True,False,True,False,False,False,0,False,True,False
4837,L52016,303.3,311.8,1315,62.0,42,True,False,True,False,False,False,0,False,True,False
4841,L52020,303.4,311.9,1298,63.9,59,True,False,True,False,False,False,0,False,True,False
4845,M19704,303.4,311.8,1316,50.9,69,True,False,True,False,False,False,0,False,False,True
4852,L52031,303.7,312.1,1363,51.8,90,True,False,True,False,False,False,0,False,True,False
4921,L52100,303.4,312.2,1337,69.4,52,True,False,False,True,False,False,0,False,True,False
4937,L52116,303.5,312.4,1284,70.6,94,True,False,False,True,False,False,0,False,True,False
4977,L52156,303.7,312.7,1359,56.8,194,True,False,False,False,True,False,0,False,True,False
4985,L52164,303.8,313.1,1256,58.7,213,True,False,False,False,True,False,0,False,True,False
4989,L52168,303.8,313.1,2497,13.0,5,True,False,False,True,False,False,0,False,True,False
4998,M19857,303.6,312.8,2659,11.4,26,True,False,False,True,False,False,0,False,False,True
5049,H34462,304.0,313.2,1271,68.6,161,True,False,False,True,False,False,0,True,False,False
5062,L52241,304.0,312.9,1363,62.5,200,True,False,False,False,True,False,0,False,True,False
5142,L52321,304.4,313.7,1509,35.0,205,True,True,False,False,False,False,0,False,True,False
5220,L52399,303.8,313.0,1365,59.9,205,True,False,False,False,True,False,0,False,True,False
5310,M20169,303.9,313.2,1422,48.0,215,True,True,False,False,False,False,0,False,False,True
5335,M20194,303.4,312.6,2706,9.8,65,True,False,False,True,False,False,0,False,False,True
5400,H34813,302.8,312.4,1411,53.8,246,True,False,False,False,True,False,0,True,False,False
5401,L52580,302.7,312.4,1477,46.3,251,True,False,False,False,True,False,0,False,True,False
5489,L52668,302.7,312.2,1450,52.1,213,True,False,False,False,True,False,0,False,True,False
5491,L52670,302.6,312.1,1288,68.5,0,True,False,False,True,False,False,0,False,True,False
5616,M20475,303.0,312.2,1257,71.3,122,True,False,False,True,False,False,0,False,False,True
5618,L52797,303.1,312.4,1404,61.5,127,True,False,False,True,False,False,0,False,True,False
5707,L52886,302.4,311.9,1290,70.0,139,True,False,False,True,False,False,0,False,True,False
5735,L52914,302.3,311.8,1369,56.2,208,True,False,False,False,True,False,0,False,True,False
6000,M20859,300.4,310.2,1671,30.5,234,True,True,False,False,False,False,0,False,False,True
6025,L53204,300.7,310.9,1356,65.3,66,True,False,False,True,False,False,0,False,True,False
6079,L53258,300.8,310.7,1339,59.1,203,True,False,False,False,True,False,0,False,True,False
6154,L53333,301.0,311.1,1236,64.4,177,True,False,False,False,True,False,0,False,True,False
6160,L53339,301.0,311.0,1399,58.0,190,True,False,False,False,True,False,0,False,True,False
6173,L53352,300.8,310.6,1577,37.9,227,True,True,False,False,False,False,0,False,True,False
6179,L53358,301.1,310.9,1282,67.9,10,True,False,False,True,False,False,0,False,True,False
6256,L53435,301.0,310.5,1379,57.3,204,True,False,False,False,True,False,0,False,True,False
6257,L53436,301.0,310.6,1493,37.8,206,True,True,False,False,False,False,0,False,True,False
6341,H35754,300.5,309.9,1397,45.9,210,True,True,False,False,False,False,0,True,False,False
6420,H35833,300.3,309.9,1394,46.7,210,True,True,False,False,False,False,0,True,False,False
6498,L53677,300.8,309.9,1312,65.3,192,True,False,False,False,True,False,0,False,True,False
6526,L53705,301.1,310.4,1312,73.6,49,True,False,False,True,False,False,0,False,True,False
6541,M21400,301.4,310.7,1368,63.7,92,True,False,False,True,False,False,0,False,False,True
6619,M21478,301.6,310.6,1309,65.8,75,True,False,False,True,False,False,0,False,False,True
6674,L53853,301.6,310.7,1380,51.8,216,True,False,False,False,True,False,0,False,True,False
6679,M21538,301.5,310.7,1336,65.6,0,True,False,False,True,False,False,0,False,False,True
6760,L53939,301.7,311.0,1441,44.3,208,True,True,False,False,False,False,0,False,True,False
6800,M21659,301.1,310.7,2636,12.2,100,True,False,False,True,False,False,0,False,False,True
6925,L54104,301.2,311.6,1461,52.9,208,True,False,False,False,True,False,0,False,True,False
6933,L54112,300.8,311.4,1322,67.2,18,True,False,False,True,False,False,0,False,True,False
6991,L54170,300.7,311.1,2478,13.4,170,True,False,False,True,False,False,0,False,True,False
7012,L54191,300.5,310.5,2633,12.2,17,True,False,False,True,False,False,0,False,True,False
7088,L54267,300.6,310.3,1648,30.5,217,True,True,False,False,False,False,0,False,True,False
7168,L54347,300.3,310.3,1362,60.3,206,True,False,False,False,True,False,0,False,True,False
7281,L54460,299.9,310.2,1288,69.6,62,True,False,False,True,False,False,0,False,True,False
7427,M22286,300.0,311.4,1692,29.0,216,True,True,False,False,False,False,0,False,False,True
7510,L54689,300.6,311.9,1372,60.1,212,True,False,False,False,True,False,0,False,True,False
7511,L54690,300.5,311.8,1524,38.9,214,True,True,False,False,False,False,0,False,True,False
7537,L54716,300.1,311.3,2579,12.5,64,True,False,False,True,False,False,0,False,True,False
7565,M22424,300.3,311.2,1381,65.2,136,True,False,False,True,False,False,0,False,False,True
7570,L54749,300.2,311.0,1255,71.8,149,True,False,False,True,False,False,0,False,True,False
7592,M22451,300.5,311.1,1296,61.3,202,True,False,False,False,True,False,0,False,False,True
7594,L54773,300.5,311.2,1270,67.5,208,True,False,False,False,True,False,0,False,True,False
7670,L54849,300.7,311.8,1336,58.4,189,True,False,False,False,True,False,0,False,True,False
7688,M22547,300.7,311.7,2097,18.9,232,True,True,False,False,False,False,0,False,False,True
7757,L54936,300.5,311.8,1368,57.9,191,True,False,False,False,True,False,0,False,True,False
7760,L54939,300.4,311.8,1272,59.2,198,True,False,False,False,True,False,0,False,True,False
7764,L54943,300.4,311.6,1200,76.6,3,True,False,False,True,False,False,0,False,True,False
7850,M22709,300.3,311.7,1374,47.9,222,True,True,False,False,False,False,0,False,False,True
7885,L55064,300.8,312.4,1465,59.1,91,True,False,False,True,False,False,0,False,True,False
7927,L55106,300.7,311.9,1335,57.1,194,True,False,False,False,True,False,0,False,True,False
