Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type_H,Type_L,Type_M,Temperature Difference,Horse Power,Machine Failure
52,False,False,False,False,False,True,False,True,False,9.399999999999975,55078.5,1
172,False,False,False,False,False,True,False,True,False,9.399999999999975,77968.2,1
180,False,False,False,False,False,True,False,True,False,9.5,47871.6,1
16,False,False,False,False,False,True,False,True,False,9.800000000000011,81190.0,1
181,False,False,False,False,False,True,False,True,False,10.399999999999975,57018.5,1
91,False,False,False,False,False,True,False,True,False,10.300000000000011,73476.0,1
160,False,False,False,False,False,True,False,True,False,11.399999999999975,67207.5,1
41,False,False,False,False,False,True,True,False,False,11.5,67154.6,1
143,True,False,False,True,False,False,False,True,False,10.200000000000044,13160.6,1
208,True,True,False,False,False,False,False,True,False,10.099999999999966,60091.49999999999,1
216,True,False,False,False,True,False,False,True,False,9.800000000000011,77817.40000000001,1
218,True,False,False,False,True,False,False,True,False,9.800000000000011,73847.59999999999,1
20,True,False,False,True,False,False,False,True,False,9.900000000000034,89275.9,1
86,True,False,False,True,False,False,False,False,True,10.300000000000011,28654.6,1
119,True,False,False,True,False,False,False,False,True,10.300000000000011,86254.7,1
202,True,False,False,False,True,False,False,True,False,10.199999999999989,79262.4,1
216,True,False,False,False,True,False,False,True,False,10.300000000000011,77361.59999999999,1
218,True,False,False,False,True,False,False,True,False,10.300000000000011,78961.0,1
19,True,False,False,True,False,False,False,False,True,10.099999999999966,90738.0,1
203,True,False,False,False,True,False,False,True,False,10.800000000000011,77849.1,1
127,True,False,False,True,False,False,False,True,False,10.800000000000011,32819.200000000004,1
61,True,False,False,True,False,False,False,True,False,11.100000000000025,86038.5,1
118,True,False,False,True,False,False,False,True,False,11.300000000000011,12070.8,1
222,True,False,False,False,True,False,False,True,False,12.0,74749.8,1
31,True,False,False,True,False,False,False,True,False,11.900000000000034,95657.6,1
199,True,False,False,False,True,False,False,True,False,11.300000000000011,79918.0,1
213,True,False,False,True,False,False,False,True,False,11.0,15864.8,1
89,True,False,False,True,False,False,False,False,True,10.5,94107.0,1
149,True,False,False,True,False,False,False,True,False,10.5,33142.0,1
215,True,False,False,False,True,False,False,True,False,10.5,76283.2,1
24,True,False,False,True,False,False,False,False,True,10.899999999999975,90087.7,1
202,True,False,False,False,True,False,False,True,False,10.800000000000011,78114.0,1
206,True,True,False,False,False,False,True,False,False,10.900000000000034,55454.2,1
18,True,False,False,True,False,False,False,True,False,10.600000000000025,25305.300000000003,1
100,True,False,False,True,False,False,True,False,False,11.099999999999966,86347.8,1
105,True,False,False,True,False,False,False,False,True,11.100000000000025,86802.0,1
153,True,False,False,True,False,False,False,True,False,10.899999999999975,89553.59999999999,1
200,True,False,False,False,True,False,False,True,False,10.800000000000011,80539.2,1
202,True,False,False,False,True,False,False,True,False,10.900000000000034,79940.0,1
213,True,False,False,False,True,False,False,True,False,11.100000000000025,71505.0,1
98,True,False,False,True,False,False,False,True,False,11.100000000000025,32940.9,1
226,True,False,False,False,True,False,False,True,False,11.399999999999975,67021.5,1
228,True,False,False,False,True,False,False,True,False,11.399999999999975,73759.8,1
142,True,False,False,True,False,False,False,True,False,11.300000000000011,24085.6,1
212,True,False,False,False,True,False,False,True,False,11.100000000000025,72168.2,1
176,True,False,False,True,False,False,False,False,True,10.699999999999989,86521.5,1
220,True,True,False,False,False,False,False,True,False,10.5,53873.3,1
189,True,False,False,False,True,False,False,True,False,10.199999999999989,79910.0,1
218,True,False,False,False,True,False,False,True,False,10.199999999999989,72208.5,1
225,True,True,False,False,False,False,True,False,False,9.5,57904.4,1
209,True,True,False,False,False,False,False,True,False,9.400000000000034,46841.0,1
57,True,False,False,True,False,False,False,True,False,9.699999999999989,10966.8,1
67,True,False,False,True,False,False,False,True,False,9.699999999999989,88364.9,1
125,True,False,False,True,False,False,False,True,False,9.599999999999966,32857.6,1
186,True,False,False,False,True,False,False,True,False,9.5,80947.0,1
198,True,True,False,False,False,False,False,False,True,9.600000000000025,54091.2,1
42,True,False,False,True,False,False,False,True,False,9.699999999999989,86256.3,1
195,True,False,False,False,True,False,False,True,False,9.899999999999975,81732.0,1
119,True,False,False,True,False,False,False,True,False,9.599999999999966,87305.20000000001,1
225,True,True,False,False,False,False,False,False,True,9.599999999999966,43687.8,1
179,True,False,False,True,False,False,False,True,False,9.199999999999989,33137.0,1
203,True,True,False,False,False,False,False,False,True,9.099999999999966,57825.0,1
134,True,False,False,True,False,False,False,True,False,9.300000000000011,90953.4,1
218,True,False,False,False,True,False,False,True,False,9.300000000000011,74182.40000000001,1
220,True,False,False,False,True,False,False,True,False,9.300000000000011,69451.2,1
30,True,False,False,True,False,False,False,False,True,9.300000000000011,87259.2,1
76,True,False,False,True,False,False,False,True,False,9.400000000000034,86409.40000000001,1
207,True,False,False,False,True,False,False,True,False,9.699999999999989,71234.40000000001,1
228,True,False,False,False,True,False,False,True,False,9.800000000000011,74083.5,1
191,True,False,False,False,True,False,False,True,False,9.900000000000034,81641.5,1
20,True,False,False,True,False,False,False,True,False,9.699999999999989,89100.0,1
221,True,True,False,False,False,False,False,False,True,9.600000000000025,58618.1,1
212,True,False,False,False,True,False,False,True,False,9.5,84564.9,1
231,True,False,False,False,True,False,False,True,False,8.800000000000011,72975.5,1
246,True,True,False,False,False,False,True,False,False,8.799999999999955,65688.0,1
45,True,False,False,True,False,False,False,False,True,8.799999999999955,86394.40000000001,1
203,True,True,False,False,False,False,False,False,True,8.900000000000034,39520.8,1
159,True,False,False,True,False,False,True,False,False,9.300000000000011,96387.2,1
207,True,False,False,False,True,False,False,True,False,9.300000000000011,74741.8,1
81,True,False,False,True,False,False,True,False,False,9.5,32806.4,1
113,True,False,True,False,False,False,False,False,True,8.599999999999966,83740.8,1
195,True,False,False,False,True,False,False,True,False,8.800000000000011,72079.2,1
183,True,False,False,False,True,False,False,True,False,9.400000000000034,80441.0,1
195,True,False,False,False,True,False,False,True,False,9.199999999999989,78319.0,1
15,True,False,False,True,False,False,False,True,False,9.399999999999975,22080.0,1
21,True,False,False,True,False,False,False,False,True,8.899999999999977,31668.0,1
212,True,False,False,False,True,False,False,True,False,8.899999999999977,73171.8,1
214,True,True,False,False,False,False,False,True,False,9.0,61113.0,1
124,True,False,False,True,False,False,False,True,False,8.800000000000011,31529.6,1
182,True,False,False,False,True,False,False,True,False,9.199999999999989,82931.0,1
207,True,True,False,False,False,False,False,True,False,9.100000000000025,57068.99999999999,1
166,True,False,True,False,False,False,False,True,False,8.599999999999966,64443.6,1
22,True,False,True,False,False,False,False,True,False,8.5,65132.1,1
34,True,False,True,False,False,False,False,True,False,8.599999999999966,67984.7,1
67,True,False,True,False,False,False,False,False,True,8.599999999999966,59840.0,1
88,True,False,True,False,False,False,False,False,True,8.5,78366.6,1
130,True,False,True,False,False,False,True,False,False,8.599999999999966,66114.4,1
228,True,True,False,False,False,False,True,False,False,8.899999999999977,56037.6,1
2,True,False,False,True,False,False,False,False,True,8.900000000000034,26277.3,1
169,True,False,False,True,False,False,False,True,False,8.899999999999977,86231.59999999999,1
187,True,False,False,False,True,False,False,False,True,9.0,83681.40000000001,1
153,True,False,False,True,False,False,False,True,False,9.099999999999966,86076.8,1
207,True,False,False,False,True,False,False,False,True,8.899999999999977,81465.3,1
231,True,False,False,False,True,False,False,True,False,8.800000000000011,69564.9,1
235,True,True,False,False,False,False,False,True,False,8.800000000000011,46835.0,1
31,True,False,False,True,False,False,False,True,False,9.100000000000025,32561.1,1
85,True,False,False,True,False,False,False,True,False,8.700000000000045,91306.6,1
101,True,False,True,False,False,False,True,False,False,8.599999999999966,80745.59999999999,1
108,True,False,True,False,False,False,False,True,False,8.399999999999977,78706.0,1
110,True,False,True,False,False,False,False,True,False,8.399999999999977,77755.2,1
126,True,False,True,False,False,False,False,True,False,8.5,75542.4,1
153,True,False,True,False,False,False,False,True,False,8.5,70829.0,1
204,True,False,False,False,True,False,False,True,False,8.600000000000023,74638.0,1
208,True,False,True,False,False,False,False,True,False,8.599999999999966,59757.5,1
210,True,False,True,False,False,False,False,False,True,8.599999999999966,63708.8,1
213,True,False,True,False,False,False,False,False,True,8.599999999999966,65199.2,1
22,True,False,True,False,False,False,False,True,False,8.5,80760.8,1
40,True,False,True,False,False,False,False,True,False,8.5,75251.4,1
47,True,False,True,False,False,False,False,True,False,8.5,81457.2,1
73,True,False,True,False,False,False,False,False,True,8.5,65904.0,1
79,True,False,True,False,False,False,False,False,True,8.399999999999977,67387.2,1
85,True,False,True,False,False,False,False,True,False,8.5,60828.0,1
90,True,False,True,False,False,False,False,True,False,8.5,76537.8,1
109,True,False,True,False,False,False,False,True,False,8.400000000000034,63935.0,1
126,True,False,True,False,False,False,False,False,True,8.400000000000034,69782.5,1
134,True,False,True,False,False,False,False,False,True,8.400000000000034,66223.2,1
148,True,False,True,False,False,False,False,True,False,8.5,62188.9,1
155,True,False,True,False,False,False,False,True,False,8.300000000000011,74637.59999999999,1
159,True,False,True,False,False,False,False,True,False,8.400000000000034,70968.8,1
161,True,False,True,False,False,False,False,True,False,8.400000000000034,65243.2,1
218,True,True,False,False,False,False,False,False,True,8.599999999999966,51984.0,1
8,True,False,True,False,False,False,False,True,False,8.599999999999966,69379.2,1
41,True,False,True,False,False,False,False,True,False,8.599999999999966,66998.7,1
93,True,False,True,False,False,False,False,True,False,8.399999999999977,82140.0,1
97,True,False,True,False,False,False,False,True,False,8.399999999999977,75677.0,1
101,True,False,True,False,False,False,True,False,False,8.399999999999977,75258.0,1
111,True,False,True,False,False,False,False,False,True,8.399999999999977,64589.4,1
125,True,False,True,False,False,False,False,False,True,8.400000000000034,78727.90000000001,1
154,True,False,True,False,False,False,False,True,False,8.299999999999955,69212.0,1
174,True,False,True,False,False,False,False,True,False,8.100000000000023,61789.4,1
180,True,False,True,False,False,False,False,True,False,8.0,66639.0,1
182,True,False,True,False,False,False,False,False,True,8.099999999999966,81374.0,1
187,True,False,True,False,False,False,False,True,False,8.199999999999989,64533.0,1
205,True,False,False,True,False,False,False,False,True,8.300000000000011,32970.8,1
215,True,False,False,True,False,False,False,True,False,8.399999999999977,16385.0,1
20,True,False,True,False,False,False,False,True,False,8.5,80450.09999999999,1
64,True,False,True,False,False,False,False,True,False,8.5,67720.5,1
70,True,False,True,False,False,False,False,True,False,8.5,75999.59999999999,1
77,True,False,True,False,False,False,False,True,False,8.5,63913.2,1
142,True,False,False,True,False,False,False,False,True,7.699999999999989,86902.2,1
147,True,False,True,False,False,False,True,False,False,7.800000000000011,73344.0,1
166,True,False,True,False,False,False,False,False,True,8.0,66467.8,1
233,True,True,False,False,False,False,False,True,False,7.899999999999977,65322.6,1
6,True,False,True,False,False,False,False,False,True,7.899999999999977,61110.5,1
12,True,False,True,False,False,False,False,False,True,7.900000000000034,70588.8,1
36,True,False,True,False,False,False,False,True,False,7.800000000000011,68867.7,1
53,True,False,True,False,False,False,False,True,False,7.800000000000011,60560.5,1
55,True,False,True,False,False,False,False,True,False,7.800000000000011,77571.0,1
61,True,False,True,False,False,False,False,False,True,7.700000000000045,74146.8,1
84,True,False,False,True,False,False,False,False,True,7.599999999999966,28900.800000000003,1
92,True,False,True,False,False,False,False,True,False,7.599999999999966,82680.0,1
107,True,False,True,False,False,False,False,False,True,7.700000000000045,67433.09999999999,1
134,True,False,True,False,False,False,False,True,False,7.800000000000011,69616.7,1
148,True,False,True,False,False,False,False,True,False,7.699999999999989,67247.40000000001,1
163,True,False,True,False,False,False,False,True,False,7.900000000000034,70348.8,1
165,True,False,True,False,False,False,False,False,True,7.900000000000034,74825.4,1
211,True,True,False,False,False,False,False,True,False,7.800000000000011,59141.4,1
10,True,False,True,False,False,False,False,True,False,7.800000000000011,56471.8,1
20,True,False,True,False,False,False,True,False,False,7.699999999999989,72036.0,1
67,True,False,True,False,False,False,False,True,False,7.799999999999954,77734.8,1
86,True,False,True,False,False,False,False,True,False,7.699999999999989,70578.0,1
106,True,False,True,False,False,False,False,True,False,7.800000000000011,83990.4,1
144,True,False,True,False,False,False,False,False,True,8.100000000000023,62700.4,1
161,True,False,True,False,False,False,False,False,True,7.900000000000034,72187.5,1
168,True,False,True,False,False,False,False,True,False,7.800000000000011,60930.1,1
187,True,False,True,False,False,False,False,True,False,7.899999999999977,74329.90000000001,1
6,True,False,True,False,False,False,False,False,True,7.900000000000034,69068.8,1
11,True,False,True,False,False,False,False,True,False,8.0,65027.5,1
25,True,False,True,False,False,False,True,False,False,8.100000000000023,70125.0,1
40,True,False,True,False,False,False,False,True,False,8.099999999999966,68486.40000000001,1
65,True,False,True,False,False,False,False,True,False,8.199999999999989,66226.8,1
106,True,False,True,False,False,False,False,True,False,8.199999999999989,64783.6,1
115,True,False,True,False,False,False,False,True,False,8.0,60067.8,1
117,True,False,True,False,False,False,False,False,True,8.100000000000023,74499.59999999999,1
146,True,False,True,False,False,False,False,True,False,8.300000000000011,76713.0,1
164,True,False,True,False,False,False,False,False,True,8.300000000000011,71556.0,1
172,True,False,True,False,False,False,False,True,False,8.199999999999989,70273.6,1
174,True,False,True,False,False,False,False,True,False,8.199999999999989,68391.0,1
200,True,False,True,False,False,False,False,False,True,8.300000000000011,71421.0,1
234,True,True,False,False,False,False,False,True,False,8.099999999999966,68862.0,1
9,True,False,True,False,False,False,False,True,False,8.199999999999989,68933.90000000001,1
32,True,False,True,False,False,False,False,True,False,8.0,64935.0,1
44,True,False,True,False,False,False,False,False,True,8.0,70578.0,1
60,True,False,True,False,False,False,False,False,True,8.199999999999989,64942.9,1
148,True,False,True,False,False,False,False,True,False,8.199999999999989,81629.59999999999,1
187,True,False,True,False,False,False,False,True,False,8.300000000000011,75941.59999999999,1
192,True,False,True,False,False,False,False,False,True,8.300000000000011,59667.3,1
200,True,False,True,False,False,False,False,True,False,8.400000000000034,69529.4,1
210,True,False,True,False,False,False,False,False,True,8.400000000000034,63027.0,1
219,True,False,True,False,False,False,False,True,False,8.300000000000011,58675.1,1
2,True,False,True,False,False,False,False,False,True,8.300000000000011,77755.2,1
8,True,False,True,False,False,False,False,True,False,8.199999999999989,72683.8,1
29,True,False,True,False,False,False,False,True,False,8.0,63652.100000000006,1
51,True,False,True,False,False,False,False,True,False,8.300000000000011,66433.5,1
62,True,False,True,False,False,False,False,True,False,8.100000000000023,63286.5,1
66,True,False,True,False,False,False,True,False,False,8.199999999999989,70196.40000000001,1
71,True,False,False,True,False,False,False,False,True,8.300000000000011,30358.2,1
86,True,False,True,False,False,False,False,True,False,8.399999999999977,69246.09999999999,1
93,True,False,True,False,False,False,False,True,False,8.399999999999977,66259.2,1
112,True,False,True,False,False,False,True,False,False,8.599999999999966,74856.6,1
208,True,False,False,False,True,False,False,True,False,8.400000000000034,74253.0,1
215,True,True,False,False,False,False,False,True,False,8.600000000000023,54603.9,1
30,True,False,True,False,False,False,False,True,False,8.5,74447.0,1
34,True,False,True,False,False,False,False,True,False,8.5,57283.2,1
42,True,False,True,False,False,False,False,True,False,8.5,81530.0,1
59,True,False,True,False,False,False,False,True,False,8.5,82942.2,1
69,True,False,True,False,False,False,False,False,True,8.400000000000034,66984.4,1
90,True,False,True,False,False,False,False,True,False,8.400000000000034,70603.4,1
52,True,False,False,True,False,False,False,True,False,8.800000000000011,92787.8,1
94,True,False,False,True,False,False,False,True,False,8.899999999999977,90650.4,1
194,True,False,False,False,True,False,False,True,False,9.0,77191.2,1
213,True,False,False,False,True,False,False,True,False,9.300000000000011,73727.2,1
5,True,False,False,True,False,False,False,True,False,9.300000000000011,32461.0,1
26,True,False,False,True,False,False,False,False,True,9.199999999999989,30312.6,1
161,True,False,False,True,False,False,True,False,False,9.199999999999989,87190.59999999999,1
200,True,False,False,False,True,False,False,True,False,8.899999999999977,85187.5,1
205,True,True,False,False,False,False,False,True,False,9.300000000000011,52815.0,1
205,True,False,False,False,True,False,False,True,False,9.199999999999989,81763.5,1
215,True,True,False,False,False,False,False,False,True,9.300000000000011,68256.0,1
65,True,False,False,True,False,False,False,False,True,9.200000000000044,26518.800000000003,1
246,True,False,False,False,True,False,True,False,False,9.599999999999966,75911.8,1
251,True,False,False,False,True,False,False,True,False,9.699999999999989,68385.09999999999,1
213,True,False,False,False,True,False,False,True,False,9.5,75545.0,1
0,True,False,False,True,False,False,False,True,False,9.5,88228.0,1
122,True,False,False,True,False,False,False,False,True,9.199999999999989,89624.09999999999,1
127,True,False,False,True,False,False,False,True,False,9.299999999999956,86346.0,1
139,True,False,False,True,False,False,False,True,False,9.5,90300.0,1
208,True,False,False,False,True,False,False,True,False,9.5,76937.8,1
234,True,True,False,False,False,False,False,False,True,9.800000000000011,50965.5,1
66,True,False,False,True,False,False,False,True,False,10.199999999999989,88546.8,1
203,True,False,False,False,True,False,False,True,False,9.899999999999975,79134.90000000001,1
177,True,False,False,False,True,False,False,True,False,10.100000000000025,79598.40000000001,1
190,True,False,False,False,True,False,False,True,False,10.0,81142.0,1
227,True,True,False,False,False,False,False,True,False,9.800000000000011,59768.3,1
10,True,False,False,True,False,False,False,True,False,9.799999999999956,87047.8,1
204,True,False,False,False,True,False,False,True,False,9.5,79016.7,1
206,True,True,False,False,False,False,False,True,False,9.600000000000025,56435.4,1
210,True,True,False,False,False,False,True,False,False,9.399999999999975,64122.3,1
210,True,True,False,False,False,False,True,False,False,9.599999999999966,65099.8,1
192,True,False,False,False,True,False,False,True,False,9.099999999999966,85673.59999999999,1
49,True,False,False,True,False,False,False,True,False,9.299999999999956,96563.2,1
92,True,False,False,True,False,False,False,False,True,9.300000000000011,87141.6,1
75,True,False,False,True,False,False,False,False,True,9.0,86132.2,1
216,True,False,False,False,True,False,False,True,False,9.099999999999966,71484.0,1
0,True,False,False,True,False,False,False,False,True,9.199999999999989,87641.59999999999,1
208,True,True,False,False,False,False,False,True,False,9.300000000000011,63836.3,1
100,True,False,False,True,False,False,False,False,True,9.599999999999966,32159.2,1
208,True,False,False,False,True,False,False,True,False,10.400000000000034,77286.9,1
18,True,False,False,True,False,False,False,True,False,10.599999999999966,88838.40000000001,1
170,True,False,False,True,False,False,False,True,False,10.400000000000034,33205.200000000004,1
17,True,False,False,True,False,False,False,True,False,10.0,32122.6,1
217,True,True,False,False,False,False,False,True,False,9.699999999999989,50264.0,1
206,True,False,False,False,True,False,False,True,False,10.0,82128.59999999999,1
62,True,False,False,True,False,False,False,True,False,10.300000000000011,89644.79999999999,1
216,True,True,False,False,False,False,False,False,True,11.399999999999975,49068.0,1
212,True,False,False,False,True,False,False,True,False,11.299999999999956,82457.2,1
214,True,True,False,False,False,False,False,True,False,11.300000000000011,59283.6,1
64,True,False,False,True,False,False,False,True,False,11.199999999999989,32237.5,1
136,True,False,False,True,False,False,False,False,True,10.899999999999975,90041.2,1
149,True,False,False,True,False,False,False,True,False,10.800000000000011,90109.0,1
202,True,False,False,False,True,False,False,False,True,10.600000000000025,79444.8,1
208,True,False,False,False,True,False,False,True,False,10.699999999999989,85725.0,1
189,True,False,False,False,True,False,False,True,False,11.100000000000025,78022.4,1
232,True,True,False,False,False,False,False,False,True,11.0,39633.3,1
191,True,False,False,False,True,False,False,True,False,11.300000000000011,79207.2,1
198,True,False,False,False,True,False,False,True,False,11.400000000000034,75302.40000000001,1
3,True,False,False,True,False,False,False,True,False,11.200000000000044,91920.0,1
222,True,True,False,False,False,False,False,False,True,11.399999999999975,65814.59999999999,1
91,True,False,False,True,False,False,False,True,False,11.599999999999966,86581.5,1
194,True,False,False,False,True,False,False,True,False,11.199999999999989,76228.5,1
143,True,False,False,True,False,False,False,False,True,11.199999999999989,26287.0,1
222,True,False,False,False,True,False,False,True,False,11.199999999999989,70229.8,1
209,True,True,False,False,False,False,False,False,True,11.400000000000034,51404.3,1
209,True,False,False,False,True,False,False,True,False,11.299999999999956,80130.8,1
215,True,False,False,False,True,False,False,True,False,11.400000000000034,74166.4,1
225,True,True,False,False,False,False,False,True,False,11.5,46899.0,1
111,True,False,False,True,False,False,False,False,True,11.300000000000011,89385.79999999999,1
64,True,False,False,True,False,False,False,False,True,11.400000000000034,97719.4,1
203,True,True,False,False,False,False,False,True,False,11.0,64125.49999999999,1
102,True,False,False,True,False,False,False,True,False,11.199999999999989,31665.7,1
203,True,False,False,False,True,False,False,True,False,11.100000000000025,77827.90000000001,1
151,True,False,False,True,False,False,False,False,True,10.600000000000025,96048.0,1
220,True,False,False,False,True,False,False,True,False,11.0,69271.40000000001,1
222,True,True,False,False,False,False,False,True,False,10.900000000000034,59737.5,1
207,True,True,False,False,False,False,False,True,False,11.399999999999975,58741.2,1
207,True,False,False,False,True,False,False,False,True,10.900000000000034,82142.0,1
212,True,False,False,False,True,False,False,True,False,10.899999999999975,73569.2,1
217,True,True,False,False,False,False,False,True,False,10.800000000000011,57171.0,1
200,True,True,False,False,False,False,False,True,False,11.099999999999966,47897.600000000006,1
0,True,False,False,True,False,False,False,True,False,11.199999999999989,90072.6,1
207,True,False,False,False,True,False,False,True,False,10.5,72980.59999999999,1
217,True,False,False,False,True,False,False,True,False,10.699999999999989,77449.2,1
205,True,True,False,False,False,False,False,True,False,11.099999999999966,44782.6,1
92,True,False,False,True,False,False,False,True,False,11.199999999999989,86062.5,1
201,True,False,False,False,True,False,False,True,False,10.899999999999975,76476.1,1
203,True,False,False,False,True,False,False,True,False,10.899999999999975,76962.09999999999,1
216,True,False,False,False,True,False,False,True,False,10.900000000000034,79665.3,1
229,True,False,False,False,True,False,False,True,False,11.0,70028.0,1
231,True,False,False,False,True,False,False,True,False,11.099999999999966,72171.59999999999,1
238,True,False,False,False,True,False,False,True,False,11.100000000000025,66112.8,1
218,True,True,False,False,False,False,False,True,False,11.199999999999989,36790.2,1
12,True,False,False,True,False,False,False,True,False,11.0,86309.8,1
187,True,False,False,False,True,False,False,True,False,10.899999999999975,82824.0,1
206,True,False,False,False,True,False,False,True,False,11.0,75005.7,1
0,False,False,False,False,False,False,False,False,True,10.5,66382.79999999999,0
3,False,False,False,False,False,False,False,True,False,10.5,65190.4,0
5,False,False,False,False,False,False,False,True,False,10.399999999999975,74001.2,0
7,False,False,False,False,False,False,False,True,False,10.400000000000034,56603.5,0
9,False,False,False,False,False,False,False,True,False,10.5,56320.0,0
11,False,False,False,False,False,False,False,False,True,10.5,59707.5,0
14,False,False,False,False,False,False,False,True,False,10.5,66059.2,0
16,False,False,False,False,False,False,False,True,False,10.5,61385.4,0
18,False,False,False,False,False,False,False,False,True,10.399999999999975,47676.2,0
21,False,False,False,False,False,False,False,False,True,10.5,48748.0,0
24,False,False,False,False,False,False,True,False,False,10.5,42589.8,0
29,False,False,False,False,False,False,True,False,False,10.5,63038.9,0
34,False,False,False,False,False,False,False,False,True,10.5,68422.90000000001,0
37,False,False,False,False,False,False,False,False,True,10.599999999999966,52260.0,0
40,False,False,False,False,False,False,False,True,False,10.599999999999966,39886.0,0
42,False,False,False,False,False,False,False,True,False,10.599999999999966,74632.8,0
44,False,False,False,False,False,False,False,False,True,10.599999999999966,61092.6,0
47,False,False,False,False,False,False,False,False,True,10.5,64296.0,0
50,False,False,False,False,False,False,True,False,False,10.399999999999975,71177.0,0
55,False,False,False,False,False,False,False,False,True,10.400000000000034,53040.0,0
58,False,False,False,False,False,False,True,False,False,10.400000000000034,58712.50000000001,0
63,False,False,False,False,False,False,False,True,False,10.5,64959.99999999999,0
65,False,False,False,False,False,False,False,False,True,10.400000000000034,48536.7,0
68,False,False,False,False,False,False,False,True,False,10.399999999999975,45180.6,0
70,False,False,False,False,False,False,False,False,True,10.399999999999975,58225.3,0
73,False,False,False,False,False,False,False,True,False,10.5,43361.3,0
75,False,False,False,False,False,False,False,True,False,10.399999999999975,58968.0,0
77,False,False,False,False,False,False,True,False,False,10.299999999999956,44550.600000000006,0
82,False,False,False,False,False,False,False,True,False,10.299999999999956,63603.8,0
84,False,False,False,False,False,False,False,True,False,10.399999999999975,50959.3,0
86,False,False,False,False,False,False,False,False,True,10.399999999999975,64539.8,0
89,False,False,False,False,False,False,False,True,False,10.399999999999975,45849.0,0
91,False,False,False,False,False,False,False,True,False,10.399999999999975,68537.7,0
93,False,False,False,False,False,False,False,True,False,10.400000000000034,54112.5,0
95,False,False,False,False,False,False,False,False,True,10.300000000000011,54097.3,0
98,False,False,False,False,False,False,False,False,True,10.399999999999975,70567.2,0
101,False,False,False,False,False,False,False,False,True,10.300000000000011,58022.7,0
104,False,False,False,False,False,False,False,True,False,10.300000000000011,56408.8,0
106,False,False,False,False,False,False,True,False,False,10.300000000000011,69915.3,0
111,False,False,False,False,False,False,False,True,False,10.300000000000011,70875.0,0
113,False,False,False,False,False,False,False,True,False,10.300000000000011,61834.8,0
115,False,False,False,False,False,False,False,True,False,10.300000000000011,69494.4,0
117,False,False,False,False,False,False,False,False,True,10.300000000000011,67168.8,0
120,False,False,False,False,False,False,True,False,False,10.399999999999975,66542.0,0
125,False,False,False,False,False,False,False,False,True,10.300000000000011,69920.0,0
128,False,False,False,False,False,False,False,True,False,10.300000000000011,73109.90000000001,0
130,False,False,False,False,False,False,False,False,True,10.300000000000011,47549.4,0
133,False,False,False,False,False,False,False,True,False,10.300000000000011,65653.4,0
135,False,False,False,False,False,False,True,False,False,10.399999999999975,76807.5,0
140,False,False,False,False,False,False,False,False,True,10.300000000000011,62269.2,0
145,False,False,False,False,False,False,False,True,False,10.200000000000044,75926.7,0
