UDI,Product ID,Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,diff,Type_H,Type_L,Type_M
4003,L51182,1454,59.2,153,True,False,False,True,False,False,0,False,True,False
4025,M18884,1351,60.3,207,True,False,False,False,True,False,0,False,False,True
4033,L51212,1383,50.3,231,True,False,False,False,True,False,0,False,True,False
4035,L51214,1615,29.0,235,True,True,False,False,False,False,0,False,True,False
4049,L51228,2691,12.1,31,True,False,False,True,False,False,0,False,True,False
4072,L51251,1331,68.6,85,True,False,False,True,False,False,0,False,True,False
4079,H33492,1294,62.4,101,True,False,True,False,False,False,0,True,False,False
4081,L51260,1357,58.0,108,True,False,True,False,False,False,0,False,True,False
4082,L51261,1336,58.2,110,True,False,True,False,False,False,0,False,True,False
4088,L51267,1376,54.9,126,True,False,True,False,False,False,0,False,True,False
4097,L51276,1370,51.7,153,True,False,True,False,False,False,0,False,True,False
4118,L51297,1340,55.7,204,True,False,False,False,True,False,0,False,True,False
4120,L51299,1325,45.1,208,True,False,True,False,False,False,0,False,True,False
4121,M18980,1376,46.3,210,True,False,True,False,False,False,0,False,False,True
4122,M18981,1364,47.8,213,True,False,True,False,False,False,0,False,False,True
4131,L51310,1286,62.8,22,True,False,True,False,False,False,0,False,True,False
4139,L51318,1311,57.4,40,True,False,True,False,False,False,0,False,True,False
4141,L51320,1331,61.2,47,True,False,True,False,False,False,0,False,True,False
4152,M19011,1373,48.0,73,True,False,True,False,False,False,0,False,False,True
4154,M19013,1212,55.6,79,True,False,True,False,False,False,0,False,False,True
4156,L51335,1370,44.4,85,True,False,True,False,False,False,0,False,True,False
4158,L51337,1263,60.6,90,True,False,True,False,False,False,0,False,True,False
4165,L51344,1346,47.5,109,True,False,True,False,False,False,0,False,True,False
4171,M19030,1355,51.5,126,True,False,True,False,False,False,0,False,False,True
4174,M19033,1346,49.2,134,True,False,True,False,False,False,0,False,False,True
4180,L51359,1349,46.1,148,True,False,True,False,False,False,0,False,True,False
4183,L51362,1362,54.8,155,True,False,True,False,False,False,0,False,True,False
4185,L51364,1334,53.2,159,True,False,True,False,False,False,0,False,True,False
4186,L51365,1348,48.4,161,True,False,True,False,False,False,0,False,True,False
4208,M19067,1710,30.4,218,True,True,False,False,False,False,0,False,False,True
4212,L51391,1314,52.8,8,True,False,True,False,False,False,0,False,True,False
4226,L51405,1359,49.3,41,True,False,True,False,False,False,0,False,True,False
4248,L51427,1369,60.0,93,True,False,True,False,False,False,0,False,True,False
4250,L51429,1330,56.9,97,True,False,True,False,False,False,0,False,True,False
4252,H33665,1356,55.5,101,True,False,True,False,False,False,0,True,False,False
4254,M19113,1329,48.6,111,True,False,True,False,False,False,0,False,False,True
4259,M19118,1297,60.7,125,True,False,True,False,False,False,0,False,False,True
4271,L51450,1331,52.0,154,True,False,True,False,False,False,0,False,True,False
4280,L51459,1361,45.4,174,True,False,True,False,False,False,0,False,True,False
4283,L51462,1374,48.5,180,True,False,True,False,False,False,0,False,True,False
4284,M19143,1334,61.0,182,True,False,True,False,False,False,0,False,False,True
4286,L51465,1317,49.0,187,True,False,True,False,False,False,0,False,True,False
4293,M19152,2372,13.9,205,True,False,False,True,False,False,0,False,False,True
4297,L51476,2825,5.8,215,True,False,False,True,False,False,0,False,True,False
4308,L51487,1259,63.9,20,True,False,True,False,False,False,0,False,True,False
4324,L51503,1341,50.5,64,True,False,True,False,False,False,0,False,True,False
4327,L51506,1362,55.8,70,True,False,True,False,False,False,0,False,True,False
4329,L51508,1326,48.2,77,True,False,True,False,False,False,0,False,True,False
4354,M19213,1386,62.7,142,True,False,False,True,False,False,0,False,False,True
4356,H33769,1280,57.3,147,True,False,True,False,False,False,0,True,False,False
4362,M19221,1379,48.2,166,True,False,True,False,False,False,0,False,False,True
4386,L51565,1442,45.3,233,True,True,False,False,False,False,0,False,True,False
4390,M19249,1355,45.1,6,True,False,True,False,False,False,0,False,False,True
4392,M19251,1368,51.6,12,True,False,True,False,False,False,0,False,False,True
4401,L51580,1353,50.9,36,True,False,True,False,False,False,0,False,True,False
4406,L51585,1331,45.5,53,True,False,True,False,False,False,0,False,True,False
4407,L51586,1326,58.5,55,True,False,True,False,False,False,0,False,True,False
4410,M19269,1358,54.6,61,True,False,True,False,False,False,0,False,False,True
4420,M19279,2676,10.8,84,True,False,False,True,False,False,0,False,False,True
4422,L51601,1325,62.4,92,True,False,True,False,False,False,0,False,True,False
4428,M19287,1379,48.9,107,True,False,True,False,False,False,0,False,False,True
4436,L51615,1321,52.7,134,True,False,True,False,False,False,0,False,True,False
4442,L51621,1329,50.6,148,True,False,True,False,False,False,0,False,True,False
4449,L51628,1374,51.2,163,True,False,True,False,False,False,0,False,True,False
4450,M19309,1378,54.3,165,True,False,True,False,False,False,0,False,False,True
4470,L51649,1446,40.9,211,True,True,False,False,False,False,0,False,True,False
4476,L51655,1351,41.8,10,True,False,True,False,False,False,0,False,True,False
4481,H33894,1305,55.2,20,True,False,True,False,False,False,0,True,False,False
4496,L51675,1359,57.2,67,True,False,True,False,False,False,0,False,True,False
4502,L51681,1307,54.0,86,True,False,True,False,False,False,0,False,True,False
4511,L51690,1346,62.4,106,True,False,True,False,False,False,0,False,True,False
4528,M19387,1372,45.7,144,True,False,True,False,False,False,0,False,False,True
4534,M19393,1375,52.5,161,True,False,True,False,False,False,0,False,False,True
4537,L51716,1351,45.1,168,True,False,True,False,False,False,0,False,True,False
4545,L51724,1349,55.1,187,True,False,True,False,False,False,0,False,True,False
4557,M19416,1349,51.2,6,True,False,True,False,False,False,0,False,False,True
4559,L51738,1369,47.5,11,True,False,True,False,False,False,0,False,True,False
4566,H33979,1275,55.0,25,True,False,True,False,False,False,0,True,False,False
4571,L51750,1312,52.2,40,True,False,True,False,False,False,0,False,True,False
4580,L51759,1374,48.2,65,True,False,True,False,False,False,0,False,True,False
4597,L51776,1361,47.6,106,True,False,True,False,False,False,0,False,True,False
4601,L51780,1359,44.2,115,True,False,True,False,False,False,0,False,True,False
4602,M19461,1372,54.3,117,True,False,True,False,False,False,0,False,False,True
4612,L51791,1365,56.2,146,True,False,True,False,False,False,0,False,True,False
4619,M19478,1335,53.6,164,True,False,True,False,False,False,0,False,False,True
4621,L51800,1336,52.6,172,True,False,True,False,False,False,0,False,True,False
4622,L51801,1341,51.0,174,True,False,True,False,False,False,0,False,True,False
4633,M19492,1330,53.7,200,True,False,True,False,False,False,0,False,False,True
4647,L51826,1497,46.0,234,True,True,False,False,False,False,0,False,True,False
4652,L51831,1349,51.1,9,True,False,True,False,False,False,0,False,True,False
4662,L51841,1350,48.1,32,True,False,True,False,False,False,0,False,True,False
4666,M19525,1307,54.0,44,True,False,True,False,False,False,0,False,False,True
4670,M19529,1373,47.3,60,True,False,True,False,False,False,0,False,False,True
4703,L51882,1222,66.8,148,True,False,True,False,False,False,0,False,True,False
4719,L51898,1337,56.8,187,True,False,True,False,False,False,0,False,True,False
4721,M19580,1353,44.1,192,True,False,True,False,False,False,0,False,False,True
4724,L51903,1366,50.9,200,True,False,True,False,False,False,0,False,True,False
4728,M19587,1341,47.0,210,True,False,True,False,False,False,0,False,False,True
4732,L51911,1301,45.1,219,True,False,True,False,False,False,0,False,True,False
4738,M19597,1336,58.2,2,True,False,True,False,False,False,0,False,False,True
4740,L51919,1351,53.8,8,True,False,True,False,False,False,0,False,True,False
4749,L51928,1363,46.7,29,True,False,True,False,False,False,0,False,True,False
4756,L51935,1295,51.3,51,True,False,True,False,False,False,0,False,True,False
4760,L51939,1361,46.5,62,True,False,True,False,False,False,0,False,True,False
4762,H34175,1332,52.7,66,True,False,True,False,False,False,0,True,False,False
4763,M19622,2663,11.4,71,True,False,False,True,False,False,0,False,False,True
4769,L51948,1309,52.9,86,True,False,True,False,False,False,0,False,True,False
4771,L51950,1344,49.3,93,True,False,True,False,False,False,0,False,True,False
4779,H34192,1371,54.6,112,True,False,True,False,False,False,0,True,False,False
4815,L51994,1401,53.0,208,True,False,False,False,True,False,0,False,True,False
4817,L51996,1521,35.9,215,True,True,False,False,False,False,0,False,True,False
4832,L52011,1366,54.5,30,True,False,True,False,False,False,0,False,True,False
4834,L52013,1377,41.6,34,True,False,True,False,False,False,0,False,True,False
4837,L52016,1315,62.0,42,True,False,True,False,False,False,0,False,True,False
4841,L52020,1298,63.9,59,True,False,True,False,False,False,0,False,True,False
4845,M19704,1316,50.9,69,True,False,True,False,False,False,0,False,False,True
4852,L52031,1363,51.8,90,True,False,True,False,False,False,0,False,True,False
4921,L52100,1337,69.4,52,True,False,False,True,False,False,0,False,True,False
4937,L52116,1284,70.6,94,True,False,False,True,False,False,0,False,True,False
4977,L52156,1359,56.8,194,True,False,False,False,True,False,0,False,True,False
4985,L52164,1256,58.7,213,True,False,False,False,True,False,0,False,True,False
4989,L52168,2497,13.0,5,True,False,False,True,False,False,0,False,True,False
4998,M19857,2659,11.4,26,True,False,False,True,False,False,0,False,False,True
5049,H34462,1271,68.6,161,True,False,False,True,False,False,0,True,False,False
5062,L52241,1363,62.5,200,True,False,False,False,True,False,0,False,True,False
5142,L52321,1509,35.0,205,True,True,False,False,False,False,0,False,True,False
5220,L52399,1365,59.9,205,True,False,False,False,True,False,0,False,True,False
5310,M20169,1422,48.0,215,True,True,False,False,False,False,0,False,False,True
5335,M20194,2706,9.8,65,True,False,False,True,False,False,0,False,False,True
5400,H34813,1411,53.8,246,True,False,False,False,True,False,0,True,False,False
5401,L52580,1477,46.3,251,True,False,False,False,True,False,0,False,True,False
5489,L52668,1450,52.1,213,True,False,False,False,True,False,0,False,True,False
5491,L52670,1288,68.5,0,True,False,False,True,False,False,0,False,True,False
5616,M20475,1257,71.3,122,True,False,False,True,False,False,0,False,False,True
5618,L52797,1404,61.5,127,True,False,False,True,False,False,0,False,True,False
5707,L52886,1290,70.0,139,True,False,False,True,False,False,0,False,True,False
5735,L52914,1369,56.2,208,True,False,False,False,True,False,0,False,True,False
6000,M20859,1671,30.5,234,True,True,False,False,False,False,0,False,False,True
6025,L53204,1356,65.3,66,True,False,False,True,False,False,0,False,True,False
6079,L53258,1339,59.1,203,True,False,False,False,True,False,0,False,True,False
6154,L53333,1236,64.4,177,True,False,False,False,True,False,0,False,True,False
6160,L53339,1399,58.0,190,True,False,False,False,True,False,0,False,True,False
6173,L53352,1577,37.9,227,True,True,False,False,False,False,0,False,True,False
6179,L53358,1282,67.9,10,True,False,False,True,False,False,0,False,True,False
6256,L53435,1379,57.3,204,True,False,False,False,True,False,0,False,True,False
6257,L53436,1493,37.8,206,True,True,False,False,False,False,0,False,True,False
6341,H35754,1397,45.9,210,True,True,False,False,False,False,0,True,False,False
6420,H35833,1394,46.7,210,True,True,False,False,False,False,0,True,False,False
6498,L53677,1312,65.3,192,True,False,False,False,True,False,0,False,True,False
6526,L53705,1312,73.6,49,True,False,False,True,False,False,0,False,True,False
6541,M21400,1368,63.7,92,True,False,False,True,False,False,0,False,False,True
6619,M21478,1309,65.8,75,True,False,False,True,False,False,0,False,False,True
6674,L53853,1380,51.8,216,True,False,False,False,True,False,0,False,True,False
6679,M21538,1336,65.6,0,True,False,False,True,False,False,0,False,False,True
6760,L53939,1441,44.3,208,True,True,False,False,False,False,0,False,True,False
6800,M21659,2636,12.2,100,True,False,False,True,False,False,0,False,False,True
6925,L54104,1461,52.9,208,True,False,False,False,True,False,0,False,True,False
6933,L54112,1322,67.2,18,True,False,False,True,False,False,0,False,True,False
6991,L54170,2478,13.4,170,True,False,False,True,False,False,0,False,True,False
7012,L54191,2633,12.2,17,True,False,False,True,False,False,0,False,True,False
7088,L54267,1648,30.5,217,True,True,False,False,False,False,0,False,True,False
7168,L54347,1362,60.3,206,True,False,False,False,True,False,0,False,True,False
7281,L54460,1288,69.6,62,True,False,False,True,False,False,0,False,True,False
7427,M22286,1692,29.0,216,True,True,False,False,False,False,0,False,False,True
7510,L54689,1372,60.1,212,True,False,False,False,True,False,0,False,True,False
7511,L54690,1524,38.9,214,True,True,False,False,False,False,0,False,True,False
7537,L54716,2579,12.5,64,True,False,False,True,False,False,0,False,True,False
7565,M22424,1381,65.2,136,True,False,False,True,False,False,0,False,False,True
7570,L54749,1255,71.8,149,True,False,False,True,False,False,0,False,True,False
7592,M22451,1296,61.3,202,True,False,False,False,True,False,0,False,False,True
7594,L54773,1270,67.5,208,True,False,False,False,True,False,0,False,True,False
7670,L54849,1336,58.4,189,True,False,False,False,True,False,0,False,True,False
7688,M22547,2097,18.9,232,True,True,False,False,False,False,0,False,False,True
7757,L54936,1368,57.9,191,True,False,False,False,True,False,0,False,True,False
7760,L54939,1272,59.2,198,True,False,False,False,True,False,0,False,True,False
7764,L54943,1200,76.6,3,True,False,False,True,False,False,0,False,True,False
7850,M22709,1374,47.9,222,True,True,False,False,False,False,0,False,False,True
7885,L55064,1465,59.1,91,True,False,False,True,False,False,0,False,True,False
7927,L55106,1335,57.1,194,True,False,False,False,True,False,0,False,True,False
7998,M22857,2710,9.7,143,True,False,False,True,False,False,0,False,False,True
8027,L55206,1399,50.2,222,True,False,False,False,True,False,0,False,True,False
8112,M22971,1553,33.1,209,True,True,False,False,False,False,0,False,False,True
8193,L55372,1229,65.2,209,True,False,False,False,True,False,0,False,True,False
8196,L55375,1376,53.9,215,True,False,False,False,True,False,0,False,True,False
8200,L55379,1737,27.0,225,True,True,False,False,False,False,0,False,True,False
8246,M23105,1303,68.6,111,True,False,False,True,False,False,0,False,False,True
8308,M23167,1402,69.7,64,True,False,False,True,False,False,0,False,False,True
8358,L55537,1385,46.3,203,True,True,False,False,False,False,0,False,True,False
8399,L55578,2617,12.1,102,True,False,False,True,False,False,0,False,True,False
8438,L55617,1181,65.9,203,True,False,False,False,True,False,0,False,True,False
8583,M23442,1334,72.0,151,True,False,False,True,False,False,0,False,False,True
8609,L55788,1369,50.6,220,True,False,False,False,True,False,0,False,True,False
8610,L55789,1475,40.5,222,True,True,False,False,False,False,0,False,True,False
8691,L55870,1323,44.4,207,True,True,False,False,False,False,0,False,True,False
9015,M23874,1340,61.3,207,True,False,False,False,True,False,0,False,False,True
9017,L56196,1396,52.7,212,True,False,False,False,True,False,0,False,True,False
9019,L56198,1615,35.4,217,True,True,False,False,False,False,0,False,True,False
9175,L56354,1871,25.6,200,True,True,False,False,False,False,0,False,True,False
9176,L56355,1403,64.2,0,True,False,False,True,False,False,0,False,True,False
9415,L56594,1354,53.9,207,True,False,False,False,True,False,0,False,True,False
9494,L56673,1398,55.4,217,True,False,False,False,True,False,0,False,True,False
9577,L56756,1922,23.3,205,True,True,False,False,False,False,0,False,True,False
9614,L56793,1377,62.5,92,True,False,False,True,False,False,0,False,True,False
9654,L56833,1373,55.7,201,True,False,False,False,True,False,0,False,True,False
9655,L56834,1367,56.3,203,True,False,False,False,True,False,0,False,True,False
9660,L56839,1287,61.9,216,True,False,False,False,True,False,0,False,True,False
9664,L56843,1435,48.8,229,True,False,False,False,True,False,0,False,True,False
9665,L56844,1317,54.8,231,True,False,False,False,True,False,0,False,True,False
9668,L56847,1352,48.9,238,True,False,False,False,True,False,0,False,True,False
9759,L56938,2271,16.2,218,True,True,False,False,False,False,0,False,True,False
9765,L56944,1294,66.7,12,True,False,False,True,False,False,0,False,True,False
9823,L57002,1360,60.9,187,True,False,False,False,True,False,0,False,True,False
9831,L57010,1337,56.1,206,True,False,False,False,True,False,0,False,True,False
1,M14860,1551,42.8,0,False,False,False,False,False,False,0,False,False,True
2,L47181,1408,46.3,3,False,False,False,False,False,False,0,False,True,False
3,L47182,1498,49.4,5,False,False,False,False,False,False,0,False,True,False
4,L47183,1433,39.5,7,False,False,False,False,False,False,0,False,True,False
5,L47184,1408,40.0,9,False,False,False,False,False,False,0,False,True,False
6,M14865,1425,41.9,11,False,False,False,False,False,False,0,False,False,True
7,L47186,1558,42.4,14,False,False,False,False,False,False,0,False,True,False
8,L47187,1527,40.2,16,False,False,False,False,False,False,0,False,True,False
9,M14868,1667,28.6,18,False,False,False,False,False,False,0,False,False,True
10,M14869,1741,28.0,21,False,False,False,False,False,False,0,False,False,True
11,H29424,1782,23.9,24,False,False,False,False,False,False,0,True,False,False
12,H29425,1423,44.3,29,False,False,False,False,False,False,0,True,False,False
13,M14872,1339,51.1,34,False,False,False,False,False,False,0,False,False,True
14,M14873,1742,30.0,37,False,False,False,False,False,False,0,False,False,True
15,L47194,2035,19.6,40,False,False,False,False,False,False,0,False,True,False
16,L47195,1542,48.4,42,False,False,False,False,False,False,0,False,True,False
17,M14876,1311,46.6,44,False,False,False,False,False,False,0,False,False,True
18,M14877,1410,45.6,47,False,False,False,False,False,False,0,False,False,True
19,H29432,1306,54.5,50,False,False,False,False,False,False,0,True,False,False
20,M14879,1632,32.5,55,False,False,False,False,False,False,0,False,False,True
21,H29434,1375,42.7,58,False,False,False,False,False,False,0,True,False,False
22,L47201,1450,44.8,63,False,False,False,False,False,False,0,False,True,False
23,M14882,1581,30.7,65,False,False,False,False,False,False,0,False,False,True
24,L47203,1758,25.7,68,False,False,False,False,False,False,0,False,True,False
25,M14884,1561,37.3,70,False,False,False,False,False,False,0,False,False,True
26,L47205,1861,23.3,73,False,False,False,False,False,False,0,False,True,False
27,L47206,1512,39.0,75,False,False,False,False,False,False,0,False,True,False
28,H29441,1811,24.6,77,False,False,False,False,False,False,0,True,False,False
29,L47208,1439,44.2,82,False,False,False,False,False,False,0,False,True,False
30,L47209,1693,30.1,84,False,False,False,False,False,False,0,False,True,False
31,M14890,1339,48.2,86,False,False,False,False,False,False,0,False,False,True
32,L47211,1798,25.5,89,False,False,False,False,False,False,0,False,True,False
33,L47212,1419,48.3,91,False,False,False,False,False,False,0,False,True,False
34,L47213,1665,32.5,93,False,False,False,False,False,False,0,False,True,False
35,M14894,1559,34.7,95,False,False,False,False,False,False,0,False,False,True
36,M14895,1452,48.6,98,False,False,False,False,False,False,0,False,False,True
37,M14896,1581,36.7,101,False,False,False,False,False,False,0,False,False,True
38,L47217,1439,39.2,104,False,False,False,False,False,False,0,False,True,False
