Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF,Type_H,Type_L,Type_M,Temperature Difference,power,Total_MF,norm_power,norm_temp_diff,norm_tool_wear,tool_wear_adjusted,norm_tool_wear_adjusted
1454,54.8,253,True,False,False,True,False,False,False,True,9.699999999999989,79679.2,2,0.7719314801333729,0.4666666666666656,1.0,250,1.0
1405,61.2,189,False,False,True,True,False,False,True,False,9.300000000000011,85986.0,2,0.8427835746447734,0.377777777777783,0.7470355731225297,187,0.7529411764705882
1416,61.8,209,False,False,True,True,False,False,True,False,9.699999999999989,87508.8,2,0.8598910728248269,0.4666666666666656,0.8260869565217391,207,0.8313725490196079
1325,62.4,204,True,False,False,True,False,False,False,True,11.400000000000034,82680.0,2,0.8056431826147915,0.8444444444444485,0.8063241106719368,201,0.807843137254902
1459,59.6,207,False,False,True,True,False,False,False,True,11.0,86956.40000000001,2,0.8536852795527876,0.7555555555555533,0.8181818181818182,204,0.8196078431372549
1326,75.4,172,False,False,True,True,False,False,True,False,10.699999999999989,99980.4,2,1.0,0.688888888888885,0.6798418972332015,170,0.6862745098039216
1361,68.2,172,False,False,True,True,False,False,True,False,9.599999999999966,92820.2,2,0.9195606064691239,0.44444444444443865,0.6798418972332015,170,0.6862745098039216
1399,46.4,132,False,False,False,False,True,False,False,True,11.300000000000011,64913.6,1,0.6060512101521566,0.8222222222222216,0.5217391304347826,129,0.5254901960784314
1505,45.7,144,False,False,False,False,True,False,True,False,11.199999999999989,68778.5,1,0.6494704180035411,0.7999999999999946,0.5691699604743083,142,0.5764705882352941
1626,31.1,166,False,False,False,False,True,True,False,False,9.300000000000011,50568.600000000006,1,0.4448960608266603,0.377777777777783,0.6561264822134387,161,0.6509803921568628
1570,35.5,189,False,False,False,False,True,False,True,False,9.899999999999975,55735.0,1,0.5029366299082387,0.5111111111111066,0.7470355731225297,187,0.7529411764705882
1447,50.4,140,False,False,False,False,True,False,True,False,9.699999999999989,72928.8,1,0.6960958774838901,0.4666666666666656,0.5533596837944664,138,0.5607843137254902
1687,27.7,95,False,False,False,False,True,False,False,True,9.099999999999966,46729.9,1,0.40177119002040146,0.333333333333329,0.37549407114624506,92,0.3803921568627451
1602,32.3,2,False,False,False,False,True,True,False,False,8.899999999999977,51744.6,1,0.4581075251422255,0.28888888888888764,0.007905138339920948,-3,0.00784313725490196
1346,61.2,170,False,False,False,False,True,False,True,False,9.600000000000025,82375.2,1,0.8022189867615735,0.4444444444444517,0.6719367588932806,168,0.6784313725490196
1499,35.0,215,False,False,False,False,True,False,True,False,9.5,52465.0,1,0.46620067045934555,0.4222222222222243,0.849802371541502,213,0.8549019607843137
1357,55.0,12,False,False,False,False,True,True,False,False,9.600000000000025,74635.0,1,0.7152637349798233,0.4444444444444517,0.04743083003952569,7,0.047058823529411764
1509,36.5,52,False,False,False,False,True,False,True,False,9.399999999999975,55078.5,1,0.49556135242255117,0.3999999999999969,0.20553359683794467,50,0.21568627450980393
1306,59.7,172,False,False,False,False,True,False,True,False,9.399999999999975,77968.2,1,0.7527096982932945,0.3999999999999969,0.6798418972332015,170,0.6862745098039216
1668,28.7,180,False,False,False,False,True,False,True,False,9.5,47871.6,1,0.4145973199600961,0.4222222222222243,0.7114624505928854,178,0.7176470588235294
1412,57.5,16,False,False,False,False,True,False,True,False,9.800000000000011,81190.0,1,0.7889041674530634,0.48888888888889265,0.06324110671936758,14,0.07450980392156863
1481,38.5,181,False,False,False,False,True,False,True,False,10.399999999999975,57018.5,1,0.5173557748478884,0.6222222222222162,0.7154150197628458,179,0.7215686274509804
1413,52.0,91,False,False,False,False,True,False,True,False,10.300000000000011,73476.0,1,0.7022432527164388,0.6000000000000023,0.35968379446640314,89,0.3686274509803922
1545,43.5,160,False,False,False,False,True,False,True,False,11.399999999999975,67207.5,1,0.6318214295343633,0.8444444444444356,0.6324110671936759,158,0.6392156862745098
1438,46.7,41,False,False,False,False,True,True,False,False,11.5,67154.6,1,0.6312271383249303,0.8666666666666629,0.16205533596837945,36,0.1607843137254902
2861,4.6,143,False,False,True,False,False,False,True,False,10.200000000000044,13160.6,1,0.02464567212201283,0.5777777777777875,0.5652173913043478,141,0.5725490196078431
1455,41.3,208,True,False,False,False,False,False,True,False,10.099999999999966,60091.49999999999,1,0.5518785893391572,0.5555555555555484,0.8221343873517787,206,0.8274509803921568
1282,60.7,216,False,False,False,True,False,False,True,False,9.800000000000011,77817.40000000001,1,0.7510155751480674,0.48888888888889265,0.8537549407114624,214,0.8588235294117647
1412,52.3,218,False,False,False,True,False,False,True,False,9.800000000000011,73847.59999999999,1,0.7064178956923436,0.48888888888889265,0.8616600790513834,216,0.8666666666666667
1433,62.3,20,False,False,True,False,False,False,True,False,9.900000000000034,89275.9,1,0.8797430954371017,0.5111111111111196,0.07905138339920949,18,0.09019607843137255
2678,10.7,86,False,False,True,False,False,False,False,True,10.300000000000011,28654.6,1,0.19870896132725788,0.6000000000000023,0.33992094861660077,83,0.34509803921568627
1421,60.7,119,False,False,True,False,False,False,False,True,10.300000000000011,86254.7,1,0.8458022144930663,0.6000000000000023,0.47035573122529645,116,0.4745098039215686
1348,58.8,202,False,False,False,True,False,False,True,False,10.199999999999989,79262.4,1,0.7672490495834344,0.5777777777777753,0.7984189723320159,200,0.803921568627451
1362,56.8,216,False,False,False,True,False,False,True,False,10.300000000000011,77361.59999999999,1,0.7458950093019493,0.6000000000000023,0.8537549407114624,214,0.8588235294117647
1405,56.2,218,False,False,False,True,False,False,True,False,10.300000000000011,78961.0,1,0.7638630501406527,0.6000000000000023,0.8616600790513834,216,0.8666666666666667
1420,63.9,19,False,False,True,False,False,False,False,True,10.099999999999966,90738.0,1,0.8961686753484861,0.5555555555555484,0.07509881422924901,16,0.08235294117647059
1373,56.7,203,False,False,False,True,False,False,True,False,10.800000000000011,77849.1,1,0.7513717005041928,0.7111111111111119,0.8023715415019763,201,0.807843137254902
2564,12.8,127,False,False,True,False,False,False,True,False,10.800000000000011,32819.200000000004,1,0.24549507041620613,0.7111111111111119,0.5019762845849802,125,0.5098039215686274
1399,61.5,61,False,False,True,False,False,False,True,False,11.100000000000025,86038.5,1,0.8433733721588612,0.7777777777777807,0.24110671936758893,59,0.25098039215686274
2874,4.2,118,False,False,True,False,False,False,True,False,11.300000000000011,12070.8,1,0.012402599153387798,0.8222222222222216,0.466403162055336,116,0.4745098039215686
1501,49.8,222,False,False,False,True,False,False,True,False,12.0,74749.8,1,0.7165534255439618,0.9777777777777726,0.8774703557312253,220,0.8823529411764706
1336,71.6,31,False,False,True,False,False,False,True,False,11.900000000000034,95657.6,1,0.9514366344019343,0.9555555555555583,0.1225296442687747,29,0.13333333333333333
1289,62.0,199,False,False,False,True,False,False,True,False,11.300000000000011,79918.0,1,0.7746142162545948,0.8222222222222216,0.7865612648221344,197,0.792156862745098
2833,5.6,213,False,False,True,False,False,False,True,False,11.0,15864.8,1,0.055025299504794775,0.7555555555555533,0.841897233201581,211,0.8470588235294118
1235,76.2,89,False,False,True,False,False,False,False,True,10.5,94107.0,1,0.9340168243953734,0.6444444444444436,0.35177865612648224,86,0.3568627450980392
2270,14.6,149,False,False,True,False,False,False,True,False,10.5,33142.0,1,0.2491214825599684,0.6444444444444436,0.5889328063241107,147,0.596078431372549
1372,55.6,215,False,False,False,True,False,False,True,False,10.5,76283.2,1,0.7337800066506691,0.6444444444444436,0.849802371541502,213,0.8549019607843137
1319,68.3,24,False,False,True,False,False,False,False,True,10.899999999999975,90087.7,1,0.8888630501406527,0.733333333333326,0.09486166007905138,21,0.10196078431372549
1385,56.4,202,False,False,False,True,False,False,True,False,10.800000000000011,78114.0,1,0.7543476502467039,0.7111111111111119,0.7984189723320159,200,0.803921568627451
1549,35.8,206,True,False,False,False,False,True,False,False,10.900000000000034,55454.2,1,0.49978205577574664,0.7333333333333389,0.8142292490118577,201,0.807843137254902
2721,9.3,18,False,False,True,False,False,False,True,False,10.600000000000025,25305.300000000003,1,0.16108212677613315,0.666666666666671,0.07114624505928854,16,0.08235294117647059
1386,62.3,100,False,False,True,False,False,True,False,False,11.099999999999966,86347.8,1,0.8468481220847153,0.7777777777777677,0.3952569169960474,95,0.39215686274509803
1258,69.0,105,False,False,True,False,False,False,False,True,11.100000000000025,86802.0,1,0.8519507131494514,0.7777777777777807,0.4150197628458498,102,0.4196078431372549
1296,69.1,153,False,False,True,False,False,False,True,False,10.899999999999975,89553.59999999999,1,0.8828628434306667,0.733333333333326,0.6047430830039525,151,0.611764705882353
1316,61.2,200,False,False,False,True,False,False,True,False,10.800000000000011,80539.2,1,0.7815929251260482,0.7111111111111119,0.7905138339920948,198,0.796078431372549
1400,57.1,202,False,False,False,True,False,False,True,False,10.900000000000034,79940.0,1,0.7748613694985935,0.7333333333333389,0.7984189723320159,200,0.803921568627451
1362,52.5,213,False,False,False,True,False,False,True,False,11.100000000000025,71505.0,1,0.6801005689018308,0.7777777777777807,0.841897233201581,211,0.8470588235294118
2153,15.3,98,False,False,True,False,False,False,True,False,11.100000000000025,32940.9,1,0.2468622772250533,0.7777777777777807,0.38735177865612647,96,0.396078431372549
1365,49.1,226,False,False,False,True,False,False,True,False,11.399999999999975,67021.5,1,0.6297318611987383,0.8444444444444356,0.8932806324110671,224,0.8980392156862745
1371,53.8,228,False,False,False,True,False,False,True,False,11.399999999999975,73759.8,1,0.7054315295640218,0.8444444444444356,0.9011857707509882,226,0.9058823529411765
2737,8.8,142,False,False,True,False,False,False,True,False,11.300000000000011,24085.6,1,0.14737972624407955,0.8222222222222216,0.5612648221343873,140,0.5686274509803921
1354,53.3,212,False,False,False,True,False,False,True,False,11.100000000000025,72168.2,1,0.6875511157845543,0.7777777777777807,0.8379446640316206,210,0.8431372549019608
1479,58.5,176,False,False,True,False,False,False,False,True,10.699999999999989,86521.5,1,0.8487995092884684,0.688888888888885,0.6956521739130435,173,0.6980392156862745
1429,37.7,220,True,False,False,False,False,False,True,False,10.5,53873.3,1,0.48202184834676953,0.6444444444444436,0.8695652173913043,218,0.8745098039215686
1310,61.0,189,False,False,False,True,False,False,True,False,10.199999999999989,79910.0,1,0.7745243423476862,0.5777777777777753,0.7470355731225297,187,0.7529411764705882
1365,52.9,218,False,False,False,True,False,False,True,False,10.199999999999989,72208.5,1,0.6880038555906064,0.5777777777777753,0.8616600790513834,216,0.8666666666666667
1604,36.1,225,True,False,False,False,False,True,False,False,9.5,57904.4,1,0.5273081866141804,0.4222222222222243,0.8893280632411067,220,0.8823529411764706
1511,31.0,209,True,False,False,False,False,False,True,False,9.400000000000034,46841.0,1,0.40301931390259466,0.40000000000000996,0.8260869565217391,207,0.8313725490196079
2886,3.8,57,False,False,True,False,False,False,True,False,9.699999999999989,10966.8,1,0.0,0.4666666666666656,0.22529644268774704,55,0.23529411764705882
1313,67.3,67,False,False,True,False,False,False,True,False,9.699999999999989,88364.9,1,0.8695087042878841,0.4666666666666656,0.2648221343873518,65,0.27450980392156865
2567,12.8,125,False,False,True,False,False,False,True,False,9.599999999999966,32857.6,1,0.2459264651693674,0.44444444444443865,0.49407114624505927,123,0.5019607843137255
1327,61.0,186,False,False,False,True,False,False,True,False,9.5,80947.0,1,0.7861742475307144,0.4222222222222243,0.7351778656126482,184,0.7411764705882353
1416,38.2,198,True,False,False,False,False,False,False,True,9.600000000000025,54091.2,1,0.48446978888619263,0.4444444444444517,0.782608695652174,195,0.7843137254901961
1301,66.3,42,False,False,True,False,False,False,True,False,9.699999999999989,86256.3,1,0.845820189274448,0.4666666666666656,0.16600790513833993,40,0.17647058823529413
1390,58.8,195,False,False,False,True,False,False,True,False,9.899999999999975,81732.0,1,0.7949931246461215,0.5111111111111066,0.7707509881422925,193,0.7764705882352941
1258,69.4,119,False,False,True,False,False,False,True,False,9.599999999999966,87305.20000000001,1,0.8576037818940029,0.44444444444443865,0.47035573122529645,117,0.47843137254901963
1867,23.4,225,True,False,False,False,False,False,False,True,9.599999999999966,43687.8,1,0.3675955134945672,0.44444444444443865,0.8893280632411067,222,0.8901960784313725
2549,13.0,179,False,False,True,False,False,False,True,False,9.199999999999989,33137.0,1,0.24906531136815052,0.35555555555555596,0.7075098814229249,177,0.7137254901960784
1542,37.5,203,True,False,False,False,False,False,False,True,9.099999999999966,57825.0,1,0.5264161880881124,0.333333333333329,0.8023715415019763,200,0.803921568627451
1446,62.9,134,False,False,True,False,False,False,True,False,9.300000000000011,90953.4,1,0.8985885302920004,0.377777777777783,0.5296442687747036,132,0.5372549019607843
1384,53.6,218,False,False,False,True,False,False,True,False,9.300000000000011,74182.40000000001,1,0.710179118696469,0.377777777777783,0.8616600790513834,216,0.8666666666666667
1378,50.4,220,False,False,False,True,False,False,True,False,9.300000000000011,69451.2,1,0.6570276901507185,0.377777777777783,0.8695652173913043,218,0.8745098039215686
1372,63.6,30,False,False,True,False,False,False,False,True,9.300000000000011,87259.2,1,0.8570870069292782,0.377777777777783,0.11857707509881422,27,0.12549019607843137
1267,68.2,76,False,False,True,False,False,False,True,False,9.400000000000034,86409.40000000001,1,0.8475401511679116,0.40000000000000996,0.30039525691699603,74,0.30980392156862746
1329,53.6,207,False,False,False,True,False,False,True,False,9.699999999999989,71234.40000000001,1,0.6770605840006472,0.4666666666666656,0.8181818181818182,205,0.8235294117647058
1515,48.9,228,False,False,False,True,False,False,True,False,9.800000000000011,74083.5,1,0.7090680525223112,0.48888888888889265,0.9011857707509882,226,0.9058823529411765
1345,60.7,191,False,False,False,True,False,False,True,False,9.900000000000034,81641.5,1,0.7939764260742179,0.5111111111111196,0.7549407114624506,189,0.7607843137254902
1320,67.5,20,False,False,True,False,False,False,True,False,9.699999999999989,89100.0,1,0.8777669929089488,0.4666666666666656,0.07905138339920949,18,0.09019607843137255
1399,41.9,221,True,False,False,False,False,False,False,True,9.600000000000025,58618.1,1,0.5353260625342645,0.4444444444444517,0.8735177865612648,218,0.8745098039215686
1299,65.1,212,False,False,False,True,False,False,True,False,9.5,84564.9,1,0.8268185985062957,0.4222222222222243,0.8379446640316206,210,0.8431372549019608
1417,51.5,231,False,False,False,True,False,False,True,False,8.800000000000011,72975.5,1,0.6966205164154692,0.2666666666666733,0.9130434782608695,229,0.9176470588235294
1380,47.6,246,True,False,False,False,False,True,False,False,8.799999999999955,65688.0,1,0.6147510043409097,0.26666666666666067,0.9723320158102767,241,0.9647058823529412
1367,63.2,45,False,False,True,False,False,False,False,True,8.799999999999955,86394.40000000001,1,0.8473716375924579,0.26666666666666067,0.17786561264822134,42,0.1843137254901961
1996,19.8,203,True,False,False,False,False,False,False,True,8.900000000000034,39520.8,1,0.3207824422335464,0.2888888888889003,0.8023715415019763,200,0.803921568627451
1324,72.8,159,False,False,True,False,False,True,False,False,9.300000000000011,96387.2,1,0.9596331347119991,0.377777777777783,0.6284584980237155,154,0.6235294117647059
1379,54.2,207,False,False,False,True,False,False,True,False,9.300000000000011,74741.8,1,0.7164635516370533,0.377777777777783,0.8181818181818182,205,0.8235294117647058
2563,12.8,81,False,False,True,False,False,True,False,False,9.5,32806.4,1,0.24535127216515235,0.4222222222222243,0.3201581027667984,76,0.3176470588235294
1342,62.4,113,False,True,False,False,False,False,False,True,8.599999999999966,83740.8,1,0.8175604626708729,0.22222222222221932,0.44664031620553357,110,0.45098039215686275
1269,56.8,195,False,False,False,True,False,False,True,False,8.800000000000011,72079.2,1,0.686551268570196,0.2666666666666733,0.7707509881422925,193,0.7764705882352941
1285,62.6,183,False,False,False,True,False,False,True,False,9.400000000000034,80441.0,1,0.7804897229187451,0.40000000000000996,0.7233201581027668,181,0.7294117647058823
1355,57.8,195,False,False,False,True,False,False,True,False,9.199999999999989,78319.0,1,0.756650669111237,0.35555555555555596,0.7707509881422925,193,0.7764705882352941
2760,8.0,15,False,False,True,False,False,False,True,False,9.399999999999975,22080.0,1,0.12484833778209174,0.3999999999999969,0.05928853754940711,13,0.07058823529411765
2639,12.0,21,False,False,True,False,False,False,False,True,8.899999999999977,31668.0,1,0.23256221521205753,0.28888888888888764,0.08300395256916997,18,0.09019607843137255
1378,53.1,212,False,False,False,True,False,False,True,False,8.899999999999977,73171.8,1,0.6988257974062391,0.28888888888888764,0.8379446640316206,210,0.8431372549019608
1567,39.0,214,True,False,False,False,False,False,True,False,9.0,61113.0,1,0.56335436382755,0.3111111111111146,0.8458498023715415,212,0.8509803921568627
2672,11.8,124,False,False,True,False,False,False,True,False,8.800000000000011,31529.6,1,0.23100739662253858,0.2666666666666733,0.4901185770750988,122,0.4980392156862745
1270,65.3,182,False,False,False,True,False,False,True,False,9.199999999999989,82931.0,1,0.8084629764440491,0.35555555555555596,0.7193675889328063,180,0.7254901960784313
1530,37.3,207,True,False,False,False,False,False,True,False,9.100000000000025,57068.99999999999,1,0.517923103885249,0.33333333333334203,0.8181818181818182,205,0.8235294117647058
1377,46.8,166,False,True,False,False,False,False,True,False,8.599999999999966,64443.6,1,0.6007711181212759,0.22222222222221932,0.6561264822134387,164,0.6627450980392157
1377,47.3,22,False,True,False,False,False,False,True,False,8.5,65132.1,1,0.608505891234598,0.20000000000000498,0.08695652173913043,20,0.09803921568627451
1379,49.3,34,False,True,False,False,False,False,True,False,8.599999999999966,67984.7,1,0.6405526795905345,0.22222222222221932,0.13438735177865613,32,0.1450980392156863
1360,44.0,67,False,True,False,False,False,False,False,True,8.599999999999966,59840.0,1,0.5490531783907179,0.22222222222221932,0.2648221343873518,64,0.27058823529411763
1326,59.1,88,False,True,False,False,False,False,False,True,8.5,78366.6,1,0.7571854188573433,0.20000000000000498,0.34782608695652173,85,0.35294117647058826
1366,48.4,130,False,True,False,False,False,True,False,False,8.599999999999966,66114.4,1,0.6195412835791384,0.22222222222221932,0.5138339920948617,125,0.5098039215686274
1629,34.4,228,True,False,False,False,False,True,False,False,8.899999999999977,56037.6,1,0.5063361104370568,0.28888888888888764,0.9011857707509882,223,0.8941176470588236
2709,9.7,2,False,False,True,False,False,False,False,True,8.900000000000034,26277.3,1,0.17200180646552887,0.2888888888889003,0.007905138339920948,-1,0.01568627450980392
1442,59.8,169,False,False,True,False,False,False,True,False,8.899999999999977,86231.59999999999,1,0.8455427035868676,0.28888888888888764,0.6679841897233202,167,0.6745098039215687
1227,68.2,187,False,False,False,True,False,False,False,True,9.0,83681.40000000001,1,0.8168931489120765,0.3111111111111146,0.7391304347826086,184,0.7411764705882353
1454,59.2,153,False,False,True,False,False,False,True,False,9.099999999999966,86076.8,1,0.8438036434881862,0.333333333333329,0.6047430830039525,151,0.611764705882353
1351,60.3,207,False,False,False,True,False,False,False,True,8.899999999999977,81465.3,1,0.7919969532745559,0.28888888888888764,0.8181818181818182,204,0.8196078431372549
1383,50.3,231,False,False,False,True,False,False,True,False,8.800000000000011,69564.9,1,0.658305023052657,0.2666666666666733,0.9130434782608695,229,0.9176470588235294
1615,29.0,235,True,False,False,False,False,False,True,False,8.800000000000011,46835.0,1,0.4029519084724132,0.2666666666666733,0.9288537549407114,233,0.9333333333333333
2691,12.1,31,False,False,True,False,False,False,True,False,9.100000000000025,32561.1,1,0.24259551349456715,0.33333333333334203,0.1225296442687747,29,0.13333333333333333
1331,68.6,85,False,False,True,False,False,False,True,False,8.700000000000045,91306.6,1,0.9025564632820154,0.24444444444445895,0.3359683794466403,83,0.34509803921568627
1294,62.4,101,False,True,False,False,False,True,False,False,8.599999999999966,80745.59999999999,1,0.7839116719242901,0.22222222222221932,0.39920948616600793,96,0.396078431372549
1357,58.0,108,False,True,False,False,False,False,True,False,8.399999999999977,78706.0,1,0.7609983193579408,0.17777777777777798,0.4268774703557312,106,0.43529411764705883
1336,58.2,110,False,True,False,False,False,False,True,False,8.399999999999977,77755.2,1,0.7503168055218529,0.17777777777777798,0.43478260869565216,108,0.44313725490196076
1376,54.9,126,False,True,False,False,False,False,True,False,8.5,75542.4,1,0.725457682870932,0.20000000000000498,0.4980237154150198,124,0.5058823529411764
1370,51.7,153,False,True,False,False,False,False,True,False,8.5,70829.0,1,0.6725062237680535,0.20000000000000498,0.6047430830039525,151,0.611764705882353
1340,55.7,204,False,False,False,True,False,False,True,False,8.600000000000023,74638.0,1,0.715297437694914,0.22222222222223195,0.8063241106719368,202,0.8117647058823529
1325,45.1,208,False,True,False,False,False,False,True,False,8.599999999999966,59757.5,1,0.5481263537257228,0.22222222222221932,0.8221343873517787,206,0.8274509803921568
1376,46.3,210,False,True,False,False,False,False,False,True,8.599999999999966,63708.8,1,0.5925161997717203,0.22222222222221932,0.8300395256916996,207,0.8313725490196079
1364,47.8,213,False,True,False,False,False,False,False,True,8.599999999999966,65199.2,1,0.6092597086287938,0.22222222222221932,0.841897233201581,210,0.8431372549019608
1286,62.8,22,False,True,False,False,False,False,True,False,8.5,80760.8,1,0.7840824323474167,0.20000000000000498,0.08695652173913043,20,0.09803921568627451
1311,57.4,40,False,True,False,False,False,False,True,False,8.5,75251.4,1,0.7221885195071315,0.20000000000000498,0.15810276679841898,38,0.16862745098039217
1331,61.2,47,False,True,False,False,False,False,True,False,8.5,81457.2,1,0.7919059559438109,0.20000000000000498,0.1857707509881423,45,0.19607843137254902
1373,48.0,73,False,True,False,False,False,False,False,True,8.5,65904.0,1,0.6171775998274421,0.20000000000000498,0.2885375494071146,70,0.29411764705882354
1212,55.6,79,False,True,False,False,False,False,False,True,8.399999999999977,67387.2,1,0.6338402221682978,0.17777777777777798,0.31225296442687744,76,0.3176470588235294
1370,44.4,85,False,True,False,False,False,False,True,False,8.5,60828.0,1,0.5601526058939308,0.20000000000000498,0.3359683794466403,83,0.34509803921568627
1263,60.6,90,False,True,False,False,False,False,True,False,8.5,76537.8,1,0.7366402437380356,0.20000000000000498,0.3557312252964427,88,0.36470588235294116
1346,47.5,109,False,True,False,False,False,False,True,False,8.400000000000034,63935.0,1,0.5950573844895611,0.1777777777777906,0.4308300395256917,107,0.4392156862745098
1355,51.5,126,False,True,False,False,False,False,False,True,8.400000000000034,69782.5,1,0.6607495933205713,0.1777777777777906,0.4980237154150198,123,0.5019607843137255
1346,49.2,134,False,True,False,False,False,False,False,True,8.400000000000034,66223.2,1,0.6207635687130956,0.1777777777777906,0.5296442687747036,131,0.5333333333333333
1349,46.1,148,False,True,False,False,False,False,True,False,8.5,62188.9,1,0.5754412808829213,0.20000000000000498,0.5849802371541502,146,0.592156862745098
1362,54.8,155,False,True,False,False,False,False,True,False,8.300000000000011,74637.59999999999,1,0.7152929439995686,0.15555555555556363,0.6126482213438735,153,0.6196078431372549
1334,53.2,159,False,True,False,False,False,False,True,False,8.400000000000034,70968.8,1,0.6740767702912814,0.1777777777777906,0.6284584980237155,157,0.6352941176470588
1348,48.4,161,False,True,False,False,False,False,True,False,8.400000000000034,65243.2,1,0.6097540151167912,0.1777777777777906,0.6363636363636364,159,0.6431372549019608
1710,30.4,218,True,False,False,False,False,False,False,True,8.599999999999966,51984.0,1,0.46079700180646554,0.22222222222221932,0.8616600790513834,215,0.8627450980392157
1314,52.8,8,False,True,False,False,False,False,True,False,8.599999999999966,69379.2,1,0.6562188249885411,0.22222222222221932,0.03162055335968379,6,0.043137254901960784
1359,49.3,41,False,True,False,False,False,False,True,False,8.599999999999966,66998.7,1,0.6294757205640487,0.22222222222221932,0.16205533596837945,39,0.17254901960784313
1369,60.0,93,False,True,False,False,False,False,True,False,8.399999999999977,82140.0,1,0.7995766938984605,0.17777777777777798,0.3675889328063241,91,0.3764705882352941
1330,56.9,97,False,True,False,False,False,False,True,False,8.399999999999977,75677.0,1,0.7269698113546694,0.17777777777777798,0.383399209486166,95,0.39215686274509803
1356,55.5,101,False,True,False,False,False,True,False,False,8.399999999999977,75258.0,1,0.7222626654803311,0.17777777777777798,0.39920948616600793,96,0.396078431372549
1329,48.6,111,False,True,False,False,False,False,False,True,8.399999999999977,64589.4,1,0.6024090700746854,0.17777777777777798,0.43873517786561267,108,0.44313725490196076
1297,60.7,125,False,True,False,False,False,False,False,True,8.400000000000034,78727.90000000001,1,0.7612443491781032,0.1777777777777906,0.49407114624505927,122,0.4980392156862745
1331,52.0,154,False,True,False,False,False,False,True,False,8.299999999999955,69212.0,1,0.6543404603341512,0.155555555555551,0.6086956521739131,152,0.615686274509804
1361,45.4,174,False,True,False,False,False,False,True,False,8.100000000000023,61789.4,1,0.5709532026566728,0.11111111111112229,0.6877470355731226,172,0.6941176470588235
1374,48.5,180,False,True,False,False,False,False,True,False,8.0,66639.0,1,0.6254347650246704,0.0888888888888953,0.7114624505928854,178,0.7176470588235294
1334,61.0,182,False,True,False,False,False,False,False,True,8.099999999999966,81374.0,1,0.7909712673119613,0.11111111111110966,0.7193675889328063,179,0.7215686274509804
1317,49.0,187,False,True,False,False,False,False,True,False,8.199999999999989,64533.0,1,0.6017754590309795,0.13333333333333666,0.7391304347826086,185,0.7450980392156863
2372,13.9,205,False,False,True,False,False,False,False,True,8.300000000000011,32970.8,1,0.24719818095212423,0.15555555555556363,0.8102766798418972,202,0.8117647058823529
